"Country","Company","Title","Category","Location","Date Posted","Link"
"UAE","ADNOC","Engineer, Inspection (Inspection Team)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30500/Engineer-Inspection-Inspection-Team"
"UAE","ADNOC","Operator (Production Operations Team (JV-Das))","Field Operations","Offshore, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30614/Operator-Production-Operations-Team-JV-Das"
"UAE","ADNOC","SPECIALIST, PRODUCTION TECHNOLOGY","IT & Digital","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30714/SPECIALIST-PRODUCTION-TECHNOLOGY"
"UAE","ADNOC","Engineer, Metallurgy & Corrosion (Corr & Metal Team)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30752/Engineer-Metallurgy-Corrosion-Corr-Metal-Team"
"UAE","ADNOC","Officer, Government Relations","Sales & Commercial","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30488/Officer-Government-Relations"
"UAE","ADNOC","Graduate Trainee - Other Discipline (UAE Nationals)","Internship","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/17942/Graduate-Trainee-Other-Discipline-UAE-Nationals"
"UAE","ADNOC","Graduate Trainee - Engineering & Science (UAE Nationals)","Internship","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/17926/Graduate-Trainee-Engineering-Science-UAE-Nationals"
"UAE","ADNOC","Senior Engineer, Process Improvement (Utilities - PAT-PQ)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30679/Senior-Engineer-Process-Improvement-Utilities-PAT-PQ"
"UAE","ADNOC","Senior Engineer, Rotating Equipment (Eng Serv TM- Rota Equip TM-Gas Ops","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30655/Senior-Engineer-Rotating-Equipment-Eng-Serv-TM-Rota-Equip-TM-Gas-Ops"
"UAE","ADNOC","Senior Engineer, Rotating Equipment (Eng Serv TM - Rota Equip TM - P&T)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30659/Senior-Engineer-Rotating-Equipment-Eng-Serv-TM-Rota-Equip-TM-P-T"
"UAE","ADNOC","Advisor, Corporate Governance","Sales & Commercial","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30203/Advisor-Corporate-Governance"
"UAE","ADNOC","Specialist, Social Media (Content & Influencers)","Sales & Commercial","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30322/Specialist-Social-Media-Content-Influencers"
"UAE","ADNOC","Senior Engineer, Structural ( Engineering Services - Structural)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/28914/Senior-Engineer-Structural-Engineering-Services-Structural"
"UAE","ADNOC","Senior Engineer, Structural Design","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30776/Senior-Engineer-Structural-Design"
"UAE","ADNOC","Senior Advisor, Compliance","Sales & Commercial","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30799/Senior-Advisor-Compliance"
"UAE","ADNOC","Senior Engineer, Projects","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30778/Senior-Engineer-Projects"
"UAE","ADNOC","Senior Engineer, I-C ( Engineering Services Team (I&C))","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30658/Senior-Engineer-I-C-Engineering-Services-Team-I-C"
"UAE","ADNOC","Senior Accountant (Corporate Tax)","Finance & Accounting","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30792/Senior-Accountant-Corporate-Tax"
"UAE","ADNOC","Engineer, Planning","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30800/Engineer-Planning"
"UAE","ADNOC","Senior Engineer, Plant Operations (Operations Support Team (Das))","Engineering & Technical","Offshore, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30612/Senior-Engineer-Plant-Operations-Operations-Support-Team-Das"
"UAE","ADNOC","Senior Engineer, Inspection (Inspection Team)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30664/Senior-Engineer-Inspection-Inspection-Team"
"UAE","ADNOC","Senior Officer, HSE (Transportation Safety)","HSE","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/29951/Senior-Officer-HSE-Transportation-Safety"
"UAE","ADNOC","Manager, Investments & Corporate Solutions (Non-Fuel-Retail)","Finance & Accounting","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30720/Manager-Investments-Corporate-Solutions-Non-Fuel-Retail"
"UAE","ADNOC","Manager, Slickline Services","Drilling & Completion","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30708/Manager-Slickline-Services"
"UAE","ADNOC","Specialist, Business Information & Development","IT & Digital","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30283/Specialist-Business-Information-Development"
"UAE","ADNOC","Engineer, Rotating Equipment (Eng Services Team - Rota Equip Team - P&T","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30836/Engineer-Rotating-Equipment-Eng-Services-Team-Rota-Equip-Team-P-T"
"UAE","ADNOC","SPECIALIST, PROCESS SAFETY","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30756/SPECIALIST-PROCESS-SAFETY"
"UAE","ADNOC","Specialist, Reliability (Reliability Team)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30163/Specialist-Reliability-Reliability-Team"
"UAE","ADNOC","Senior Specialist, Internal Communications","HR & Training","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30342/Senior-Specialist-Internal-Communications"
"UAE","ADNOC","Graduate Trainee - Technology (UAE Nationals)","Internship","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/17941/Graduate-Trainee-Technology-UAE-Nationals"
"UAE","ADNOC","Controller, Shift (Production Operations Team (JV-Das))","Engineering & Technical","Offshore, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30613/Controller-Shift-Production-Operations-Team-JV-Das"
"UAE","ADNOC","Specialist, Integrity (Integrity Team - Technical)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30653/Specialist-Integrity-Integrity-Team-Technical"
"UAE","ADNOC","Engineer, Piping ( Engineering Services Team - Mech - Piping)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30753/Engineer-Piping-Engineering-Services-Team-Mech-Piping"
"UAE","ADNOC","Team Leader, Integrity (Operations)","Engineering & Technical","Abu Dhabi, UAE","2026-03-18","https://jobs.adnoc.ae/us/en/job/30637/Team-Leader-Integrity-Operations"
