"Country","Company","Title","Category","Location","Date Posted","Link"
"UK","AECOM","Technical Director - Substations UK","Electrical & Instrumentation","Glasgow, UK","2026-03-19","https://aecom.jobs/glasgow-gbr/technical-director-substations-uk/C8EE63AAB4C24435827F721882B1C40F/job/"
"USA","AECOM","Senior Electrical Engineer - Power Systems","Electrical & Instrumentation","Orange, USA","2026-03-19","https://aecom.jobs/orange-ca/senior-electrical-engineer-power-systems/082AA096E34744A48D43A8E551933183/job/"
"UK","AECOM","Technical Director - Substations UK","Electrical & Instrumentation","Leeds, UK","2026-03-19","https://aecom.jobs/leeds-gbr/technical-director-substations-uk/43967968215F442F80E3F4879C77CEFE/job/"
"UK","AECOM","Technical Director - Substations UK","Electrical & Instrumentation","Newcastle Upon Tyne, UK","2026-03-19","https://aecom.jobs/newcastle-upon-tyne-gbr/technical-director-substations-uk/40CA684D246B4A7087C75E25C04E9461/job/"
"UK","AECOM","Technical Director - Substations UK","Electrical & Instrumentation","Bristol, UK","2026-03-19","https://aecom.jobs/bristol-gbr/technical-director-substations-uk/8FAE622DBEA84855AACCAA48A5D78F3B/job/"
"USA","AECOM","Civil Site Lead, Power Delivery - Remote (U.S.)","Mechanical & Integrity","Charlotte, USA","2026-03-19","https://aecom.jobs/charlotte-nc/civil-site-lead-power-delivery-remote-us/5D339DB9848E47969A0F99E4F42EC114/job/"
"UK","AECOM","Technical Director - Substations UK","Electrical & Instrumentation","Manchester, UK","2026-03-19","https://aecom.jobs/manchester-gbr/technical-director-substations-uk/DF8643DBCFCB48B1BCAD0D726D072E29/job/"
"USA","AECOM","Senior Electrical Engineer - Power Systems","Electrical & Instrumentation","Los Angeles, USA","2026-03-19","https://aecom.jobs/los-angeles-ca/senior-electrical-engineer-power-systems/00E079A9F4A243E0B9F3B701DBC4D229/job/"
"UK","AECOM","Technical Director - Substations UK","Electrical & Instrumentation","London, UK","2026-03-19","https://aecom.jobs/london-gbr/technical-director-substations-uk/6586753FB5BC4C428AADB8AB37C0F905/job/"
"USA","AECOM","Senior Electrical Engineer - Power Systems","Electrical & Instrumentation","New York, USA","2026-03-19","https://aecom.jobs/new-york-ny/senior-electrical-engineer-power-systems/5BCEBC33CAFA44E49D29883891C83B7A/job/"
"UK","AECOM","Technical Director - Substations UK","Electrical & Instrumentation","Birmingham, UK","2026-03-19","https://aecom.jobs/birmingham-gbr/technical-director-substations-uk/9C0060750A2C42E18684A2840EBF8A23/job/"
"USA","AECOM","Senior Electrical Engineer - Power Systems","Electrical & Instrumentation","Chicago, USA","2026-03-19","https://aecom.jobs/chicago-il/senior-electrical-engineer-power-systems/5F3D474268D04191807D472C2DB00B19/job/"
"USA","AECOM","Transmission Engineer","Other","Nashville, USA","2026-03-19","https://aecom.jobs/nashville-tn/transmission-engineer/79383BAEE73E48619C82C10CD6C866C7/job/"
"USA","AECOM","Transmission Engineer","Other","Chattanooga, USA","2026-03-19","https://aecom.jobs/chattanooga-tn/transmission-engineer/A130243185194BD1ABC23201C2643926/job/"
"USA","AECOM","Transmission Engineer","Other","Richmond, USA","2026-03-19","https://aecom.jobs/richmond-va/transmission-engineer/16C8266EC4F94EF3A5D715F01A91346B/job/"
"India","AECOM","Lead Engineer - Primary Substation","Electrical & Instrumentation","Bengaluru, India","2026-03-19","https://aecom.jobs/bengaluru-ind/lead-engineer-primary-substation/8CB9C3D60DEF48CDA36C2504A4900644/job/"
"India","AECOM","Senior Designer - Substation (BIM + Revit)","Electrical & Instrumentation","Bengaluru, India","2026-03-19","https://aecom.jobs/bengaluru-ind/senior-designer-substation-bim-revit/2D2D65067B824C41B05FD4A2DFD8AC7D/job/"
"Romania","AECOM","Senior Mechanical Engineer","Mechanical & Integrity","Bucharest, Romania","2026-03-19","https://aecom.jobs/bucharest-rom/senior-mechanical-engineer/50CF7EA608C94D358A027405430D26CA/job/"
"India","AECOM","Senior Engineer - Secondary Substation","Electrical & Instrumentation","Bengaluru, India","2026-03-19","https://aecom.jobs/bengaluru-ind/senior-engineer-secondary-substation/632ACBC407F34A54A379CB29547C1D4C/job/"
"India","AECOM","Principal Engineer - Primary Substation","Electrical & Instrumentation","Bengaluru, India","2026-03-19","https://aecom.jobs/bengaluru-ind/principal-engineer-primary-substation/170F48BB002F41B2A3DB837C949064B4/job/"
"USA","AECOM","Transmission Engineer","Other","Charlotte, USA","2026-03-19","https://aecom.jobs/charlotte-nc/transmission-engineer/3E20C13819A74D5F9A0A61F6A4B885B5/job/"
"USA","AECOM","Transmission Engineer","Other","Raleigh, USA","2026-03-19","https://aecom.jobs/raleigh-nc/transmission-engineer/0867545809A64FAC951B608CF9553E0B/job/"
"New Zealand","AECOM","Senior Mechanical Engineer | Water Infrastructure","Mechanical & Integrity","Christchurch, New Zealand","2026-03-19","https://aecom.jobs/christchurch-nzl/senior-mechanical-engineer-water-infrastructure/C8803B89BFCE4DADBA6007A6CBDF6DDA/job/"
"USA","AECOM","Transmission Engineer","Other","Atlanta, USA","2026-03-19","https://aecom.jobs/atlanta-ga/transmission-engineer/184BED1B2E24449D98FB017673E65E7C/job/"
"USA","AECOM","Transmission Engineer","Other","Louisville, USA","2026-03-19","https://aecom.jobs/louisville-ky/transmission-engineer/A4FDBDE7E61F4ED581AE23B5C9A032D3/job/"
"USA","AECOM","Transmission Engineer","Other","Orlando, USA","2026-03-19","https://aecom.jobs/orlando-fl/transmission-engineer/4866D75A42BF491093DFABA383645CE2/job/"
"USA","AECOM","Transmission Engineer","Other","Columbia, USA","2026-03-19","https://aecom.jobs/columbia-sc/transmission-engineer/E3B146AC81F64C559E658F8543E4F682/job/"
"India","AECOM","Electrical Engineering I","Electrical & Instrumentation","Jaipur, India","2026-03-19","https://aecom.jobs/jaipur-ind/electrical-engineering-i/FC302284C87B4E2B841864EA8E4152D1/job/"
"India","AECOM","Electrical Engineering I","Electrical & Instrumentation","Jaipur, India","2026-03-19","https://aecom.jobs/jaipur-ind/electrical-engineering-i/9AAA73BBA3CD483ABB079D53D32D4E35/job/"
"India","AECOM","Electrical Engineering I","Electrical & Instrumentation","Jaipur, India","2026-03-19","https://aecom.jobs/jaipur-ind/electrical-engineering-i/0D842A60233443F69B963E9F11B2F254/job/"
"India","AECOM","Electrical Engineering I","Electrical & Instrumentation","Jaipur, India","2026-03-19","https://aecom.jobs/jaipur-ind/electrical-engineering-i/A89EB0B0BDE6443D8013980659183C19/job/"
"USA","AECOM","Senior Technical Lead - Microgrids","Other","Chicago, USA","2026-03-19","https://aecom.jobs/chicago-il/senior-technical-lead-microgrids/6663DE18F9B24AEEB0FD92D0ECECB571/job/"
"USA","AECOM","Senior Project Manager","Project Management","Houston, USA","2026-03-19","https://aecom.jobs/houston-tx/senior-project-manager/FCD6D5F215814FB9887304E26B969224/job/"
"India","AECOM","Electrical Engineering I","Electrical & Instrumentation","Jaipur, India","2026-03-19","https://aecom.jobs/jaipur-ind/electrical-engineering-i/9C3D1BAC1C3441C19EA6D5FA61EFCAA2/job/"
"UK","AECOM","Associate Director - Overhead Line Engineer","Other","Birmingham, UK","2026-03-19","https://aecom.jobs/birmingham-gbr/associate-director-overhead-line-engineer/B7A6710F300E4A62A50C995B924FA963/job/"
