Country,Company,Title,Category,Location,Date Posted,Link
"Multiple","BP","Regional Procurement Manager - Base Oil","Supply Chain & Logistics","3 Locations","Posted Today","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/Malaysia---Kuala-Lumpur/Procurement-Base-Oil-Manager-Asia-Pacific_RQ100558"
"Unknown","BP","Execution Senior Analyst, Order Management","IT & Digital","Unknown","Posted Yesterday","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/Execution-Senior-Analyst--Order-Management_RQ105772"
"India","BP","Execution Analyst, Order Management","IT & Digital","India - Pune","Posted Yesterday","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/India---Pune/Execution-Analyst--Order-Management_RQ105778"
"Indonesia","BP","B2B Business Development Manager","General","Indonesia - Jakarta","Posted Yesterday","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/Indonesia---Jakarta/Key-Account-Manager---Mining_RQ107313"
"Poland","BP","Inside Sales and Digital Acquisition Lead","IT & Digital","Poland - Kraków","Posted Yesterday","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/Poland---Krakw/Inside-Sales-and-Digital-Acquisition-Lead_RQ106852-1"
"United States","BP","Wellfield Technician","General","United States of America - Virginia - Salem","Posted 2 Days Ago","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/United-States-of-America---Virginia---Salem/Wellfield-Technician_RQ107395"
"India","BP","Execution Analyst, Invoice Processing","IT & Digital","India - Pune","Posted Yesterday","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/India---Pune/Execution-Analyst--Invoice-Processing_RQ102055"
"United States","BP","Scientist-DNA extraction and sequencing","Research & Development","United States of America - California - San Diego","Posted 2 Days Ago","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/United-States-of-America---California---San-Diego/Scientist-DNA-extraction-and-sequencing_RQ107106"
"United States","BP","Strategic Sourcing Manager","General","United States of America - Texas - Houston","Posted 2 Days Ago","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/United-States-of-America---Texas---Houston/Strategic-Sourcing-Manager_RQ107543"
"United States","BP","Compliance Manager","Legal & Compliance","United States of America - Texas - Houston","Posted 2 Days Ago","https://bpinternational.wd3.myworkdayjobs.com/en-US/bpCareers/job/United-States-of-America---Texas---Houston/Compliance-Manager_RQ107492-1"
