Country,Company,Title,Category,Location,Date Posted,Link
Germany,Baker Hughes,Ausbildung zur Fachkraft für Lagerlogistik (d/m/w),Graduate & Internship,"Celle, Germany",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/DE-CELLE-BAKER-HUGHES-STRASSE-1/Ausbildung-zur-Fachkraft-fr-Lagerlogistik--d-m-w-_R156554/apply
Italy,Baker Hughes,Flow Assembly & Testing Cell – Lead Manufacturing Engineer,Mechanical & Structural,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-PERFETTI-RICASOLI-78/Flow-Assembly---Testing-Cell---Lead-Manufacturing-Engineer_R150807-1/apply
Italy,Baker Hughes,Contract Manager and Outsourcing Process Lead- IET Engineering Operations,Operations & Process,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Contract-Manager-and-Outsourcing-Process-Lead--IET-Engineering-Operations_R155873-1/apply
United States of America,Baker Hughes,"Product Management - Spring Co-op Internship (Skaneateles, NY) 2026 Opportunities",Graduate & Internship,"Skaneateles, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-NY-SKANEATELES-721-VISIONS-DRIVE/Product-Management---Spring-Co-op-Internship--Skaneateles--NY--2026-Opportunities_R156044/apply
Saudi Arabia,Baker Hughes,Mechanical Assembler,Mechanical & Structural,"Dammam, Saudi Arabia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/SA-DAMMAM-2nd-Industrial-City-Modon-facility-Plot-No-005TS00036-PO-Box-31952/Mechanical-Assembler_R142486/apply
Saudi Arabia,Baker Hughes,Electrician,Electrical & Instrumentation,"Dammam, Saudi Arabia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/SA-DAMMAM-2nd-Industrial-City-Modon-facility-Plot-No-005TS00036-PO-Box-31952/Electrician_R151880/apply
China,Baker Hughes,University Internship - LEAD Intern 2026 Opportunities (China),Graduate & Internship,"Tianjin, China",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CN-TIANJIN--1-JIXIU-BASE-HARBOR-ECONOMIC-AREA/University-Internship---LEAD-Intern-2026-Opportunities--China-_R156148/apply
Brazil,Baker Hughes,Field Specialist - WLS,Management & Administration,"Macaé, Brazil",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/BR-RJ-MACAE-LAGOMAR-AV-ARAXA-240/Field-Specialist---WLS_R153954/apply
Gabon,Baker Hughes,"Emerging Talent–Assembly, Maintenance & Overhaul Intern 2026 Opportunities (Gabon)",Graduate & Internship,"Port Gentil, Gabon",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GA-PORT-GENTIL-Route-de-Sogara-Parcelle-No-160-Section-PA/Emerging-Talent-Assembly--Maintenance---Overhaul-Intern-2026-Opportunities--Gabon-_R158345/apply
Saudi Arabia,Baker Hughes,Gas Tech Equipment - Technician,Management & Administration,"Dammam, Saudi Arabia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/SA-DAMMAM-2nd-Industrial-City-Modon-facility-Plot-No-005TS00036-PO-Box-31952/Gas-Tech-Equipment---Technician_R138858-1/apply
