"Country","Company","Title","Category","Location","Date Posted","Link"
"Bahrain","Bapco Energies","SPF - Administrator","Management","Al-Rumamin, Bahrain","2026-04-09","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100287"
"Bahrain","Bapco Energies","Logistics Officer","Supply Chain & Logistics","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100002"
"Bahrain","Bapco Energies","Engineer","Engineering & Technical","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100013"
"Bahrain","Bapco Energies","Manager Tax","Finance & Accounting","Manama/Sea Front, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100014"
"Bahrain","Bapco Energies","On Development Assignment - Engineer","Engineering & Technical","Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100018"
"Bahrain","Bapco Energies","Vice President Legal - Upstream","Legal & Compliance","Al-Rumamin, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100016"
"Bahrain","Bapco Energies","Instructional Designer","HR & Training","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100027"
"Bahrain","Bapco Energies","Instructor Operations","HR & Training","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100026"
"Bahrain","Bapco Energies","Instructor Electrical","HR & Training","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100028"
"Bahrain","Bapco Energies","Senior Associate - Bapco Energies Entities","General","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100038"
