"Country","Company","Title","Category","Location","Date Posted","Link"
"Canada","Cenovus Energy","New Grad, CPA","General","Calgary, Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-AB-Calgary/New-Grad--CPA_R-410358"
"Canada","Cenovus Energy","Receptionist","Business & Operations","St. John's, Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-NL-St-Johns/Receptionist_R-410354"
"Canada","Cenovus Energy","Wholesale Specialist","Engineering & Technical","Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/US-OH-Columbus/Wholesale-Specialist_R-410248"
"USA","Cenovus Energy","Senior Mechanical Engineer","Engineering & Technical","Toledo, USA","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/US-OH-Toledo/Senior-Mechanical-Engineer_R-410356-1"
"USA","Cenovus Energy","Labor Pool","General","Superior, USA","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/US-WI-Superior/Labor-Pool_R-410234"
"Canada","Cenovus Energy","Grain Purchasing/Scheduling Advisor","Contracts & Procurement","Lloydminster, Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-SK-Lloydminster/Grain-Purchasing-Scheduling-Advisor_R-410320"
"USA","Cenovus Energy","Environmental Engineer","Environmental & Sustainability","Lima, USA","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/US-OH-Lima/Environmental-Engineer_R-410291"
"Canada","Cenovus Energy","Senior Engineer, Relief Valves & System Technical Authority","Engineering & Technical","Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/US-OH-Lima/Senior-Engineer--Relief-Valves---System-Technical-Authority_R-410275"
"Canada","Cenovus Energy","Student, Design/Doc Control, Lloydminster (September 2026)","General","Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-SK-Lloydminster/Student--Design-Doc-Control--Lloydminster--September-2026-_R-410251"
"Canada","Cenovus Energy","Manager, Operations Technology (OT) Conventional","Engineering & Technical","4 Locations, Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-AB-Calgary/Manager--Operations-Technology--OT--Conventional_R-410246"
"Canada","Cenovus Energy","Trader, RINs and Renewables","General","Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/US-OH-Columbus/Trader--RINs-and-Renewables_R-410241-1"
"USA","Cenovus Energy","Senior Process Engineer","Engineering & Technical","Superior, USA","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/US-WI-Superior/Senior-Process-Engineer_R-410228-1"
"Canada","Cenovus Energy","Laboratory Technologist","General","3 Locations, Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-AB-Lloydminster/Laboratory-Technologist_R-410226"
"Canada","Cenovus Energy","Safety Advisor","Safety & Security","Lloydminster, Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-SK-Lloydminster/Safety-Advisor_R-410205"
"Canada","Cenovus Energy","Credit Analyst","Digital & IT","Calgary, Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-AB-Calgary/Credit-Analyst_R-410207-1"
"Canada","Cenovus Energy","Maintenance Technician, Instrumentation","Engineering & Technical","Lloydminster, Canada","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/careers/job/CA-SK-Lloydminster/Maintenance-Technician--Instrumentation_R-410203"
