"Country","Company","Title","Category","Location","Date Posted","Link"
"Canada","Cenovus","Senior Pipeline Integrity Engineer","Inspection & Quality","CA-AB-Calgary","2026-04-01","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-AB-Calgary/Senior-Pipeline-Integrity-Engineer_R-410379"
"USA","Cenovus","Jet Fuel Specialist","Commercial & Business","2 Locations","2026-03-31","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-OH-Columbus/Wholesale-Specialist_R-410248"
"Canada","Cenovus","Design/Drafting Technologist","Mechanical Engineering","CA-SK-Lloydminster","2026-03-31","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-SK-Lloydminster/Design-Drafting-Technologist_R-410381"
"USA","Cenovus","Manager, Construction","Projects & Construction","4 Locations","2026-03-31","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-OH-Columbus/Manager--Construction_R-410206"
"Canada","Cenovus","New Grad, CPA","Finance & Accounting","CA-AB-Calgary","2026-03-28","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-AB-Calgary/New-Grad--CPA_R-410358"
"Canada","Cenovus","Receptionist","HR & Training","CA-NL-St. John's","2026-03-27","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-NL-St-Johns/Receptionist_R-410354"
"USA","Cenovus","Senior Mechanical Engineer","Mechanical Engineering","US-OH-Toledo","2026-03-27","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-OH-Toledo/Senior-Mechanical-Engineer_R-410356-1"
"USA","Cenovus","Labor Pool","Engineering","US-WI-Superior","2026-03-26","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-WI-Superior/Labor-Pool_R-410234"
"Canada","Cenovus","Grain Purchasing/Scheduling Advisor","Procurement & Logistics","CA-SK-Lloydminster","2026-03-25","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-SK-Lloydminster/Grain-Purchasing-Scheduling-Advisor_R-410320"
"USA","Cenovus","Environmental Engineer","HSE","US-OH-Lima","2026-03-24","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-OH-Lima/Environmental-Engineer_R-410291"
"USA","Cenovus","Senior Engineer, Relief Valves & System Technical Authority","Mechanical Engineering","2 Locations","2026-03-22","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-OH-Lima/Senior-Engineer--Relief-Valves---System-Technical-Authority_R-410275"
"Canada","Cenovus","Student, Design/Doc Control, Lloydminster (September 2026)","Electrical & Instrumentation","2 Locations","2026-03-21","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-SK-Lloydminster/Student--Design-Doc-Control--Lloydminster--September-2026-_R-410251"
"USA","Cenovus","Trader, RINs and Renewables","Commercial & Business","2 Locations","2026-03-20","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-OH-Columbus/Trader--RINs-and-Renewables_R-410241-1"
"USA","Cenovus","Senior Process Engineer","Operations & Production","US-WI-Superior","2026-03-19","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-WI-Superior/Senior-Process-Engineer_R-410228-1"
"Canada","Cenovus","Laboratory Technologist","Engineering","3 Locations","2026-03-19","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-AB-Lloydminster/Laboratory-Technologist_R-410226"
"Canada","Cenovus","Safety Advisor","HSE","CA-SK-Lloydminster","2026-03-18","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-SK-Lloydminster/Safety-Advisor_R-410205"
"Canada","Cenovus","Credit Analyst","Finance & Accounting","CA-AB-Calgary","2026-03-18","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/CA-AB-Calgary/Credit-Analyst_R-410207-1"
"USA","Cenovus","Senior Category Management Advisor","Procurement & Logistics","US-OH-Toledo","2026-03-17","https://cenovus.wd3.myworkdayjobs.com/en-US/careers/job/US-OH-Toledo/Senior-Category-Management-Advisor_R-410204"
