Country,Company,Title,Category,Location,Date Posted,Link
USA,Chevron,"IT PDC TPE IT - Software Engineer - Enterprise AI (FL 3-4, PSG 20-21, 1 Position)",IT & Digital,"Houston, Texas",,https://careers.chevron.com/job/houston/it-pdc-tpe-it-software-engineer-enterprise-ai-fl-3-4-psg-20-21-1-position/38138/90322089056
India,Chevron,Talent Acquisition Specialist (3rd party payroll),Finance & Accounting,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/talent-acquisition-specialist-3rd-party-payroll/38138/93525795296
India,Chevron,Enterprise Economics Technical Specialist,Finance & Accounting,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/enterprise-economics-technical-specialist/38138/92907250688
India,Chevron,Enterprise Performance Insights Specialist,IT & Digital,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/enterprise-performance-insights-specialist/38138/92872286752
USA,Chevron,NGL Rail Scheduler,Management & Administration,"Houston, Texas",,https://careers.chevron.com/job/houston/ngl-rail-scheduler/38138/93502637776
USA,Chevron,"Manager, HR - Data Science & Continuous Improvement",IT & Digital,"Houston, Texas",,https://careers.chevron.com/job/houston/manager-hr-data-science-and-continuous-improvement/38138/93502636736
India,Chevron,Mechanical Engineer,Mechanical & Structural,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/mechanical-engineer/38138/93494693904
India,Chevron,Site Reliability Engineer,Inspection & Integrity,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/site-reliability-engineer/38138/93487629120
Belgium,Chevron,Business Performance & Finance (BPF) Controller,Electrical & Instrumentation,"Ledeberg, Belgium",,https://careers.chevron.com/job/ledeberg/business-performance-and-finance-bpf-controller/38138/93487628032
India,Chevron,"Front-end Technical Specialist: Benchmarking, Target Setting & Performance",Management & Administration,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/front-end-technical-specialist-benchmarking-target-setting-and-performance/38138/92872286816
Hong Kong,Chevron,Process Coordinator (Direct Hire Contractor),Operations & Process,"Hong Kong, Hong Kong SAR",,https://careers.chevron.com/job/hong-kong/process-coordinator-direct-hire-contractor/38138/93483106528
India,Chevron,IT System Support Analyst,IT & Digital,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/it-system-support-analyst/38138/93483104672
India,Chevron,Senior IT System Support Analyst,IT & Digital,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/senior-it-system-support-analyst/38138/93483104624
India,Chevron,Solution Architect,IT & Digital,"Bengaluru, India",,https://careers.chevron.com/job/bengaluru/solution-architect/38138/87210780960
Singapore,Chevron,LOBP Operator,Operations & Process,"Singapore, Singapore",,https://careers.chevron.com/job/singapore/lobp-operator/38138/93449772144
USA,Chevron,"Category Specialist, Subsea Equipment",Supply Chain,"Houston, Texas",,https://careers.chevron.com/job/houston/category-specialist-subsea-equipment/38138/93473581168
USA,Chevron,HSE Process Safety Coordinator Infrastructure,HSE,"Houston, Texas",,https://careers.chevron.com/job/houston/hse-process-safety-coordinator-infrastructure/38138/93473581136
Argentina,Chevron,MDG Data Engineer (SAP Master Data Governance),Legal & Compliance,"Buenos Aires, Argentina",,https://careers.chevron.com/job/buenos-aires/mdg-data-engineer-sap-master-data-governance/38138/93473581104
Argentina,Chevron,Data Services Data Engineer (SAP Data Services / BODS),IT & Digital,"Buenos Aires, Argentina",,https://careers.chevron.com/job/buenos-aires/data-services-data-engineer-sap-data-services-bods/38138/93473581088
USA,Chevron,Instrumentation & Controls (I&C) Engineer,Electrical & Instrumentation,"Richmond, California",,https://careers.chevron.com/job/richmond/instrumentation-and-controls-i-and-c-engineer/38138/93473581072
USA,Chevron,"Category Specialist, Petro Tech",Supply Chain,"Houston, Texas",,https://careers.chevron.com/job/houston/category-specialist-petro-tech/38138/93473581056
Argentina,Chevron,Lead Data Analyst - Profiling & Cleansing,IT & Digital,"Buenos Aires, Argentina",,https://careers.chevron.com/job/buenos-aires/lead-data-analyst-profiling-and-cleansing/38138/93473580928
USA,Chevron,Mechanic I-IV,Mechanical & Structural,"Pecos, Texas",,https://careers.chevron.com/job/pecos/mechanic-i-iv/38138/93473579440
USA,Chevron,Field Representative,Management & Administration,"Tioga, North Dakota",,https://careers.chevron.com/job/tioga/field-representative/38138/93473579120
USA,Chevron,HSE Specialist,HSE,"Tioga, North Dakota",,https://careers.chevron.com/job/tioga/hse-specialist/38138/93464947104
USA,Chevron,Lead Process Safety Specialist,HSE,"Pasadena, Texas",,https://careers.chevron.com/job/pasadena/lead-process-safety-specialist/38138/93457022592
USA,Chevron,Construction Assurance Specialist,Management & Administration,"Tioga, North Dakota",,https://careers.chevron.com/job/tioga/construction-assurance-specialist/38138/93464946720
USA,Chevron,"Category Specialist, MRO",Supply Chain,"Houston, Texas",,https://careers.chevron.com/job/houston/category-specialist-mro/38138/93464946640
USA,Chevron,"Downstream, Midstream & Chemicals - Maintenance Execution SME (Execution Excellence)",Management & Administration,"Houston, Texas",,https://careers.chevron.com/job/houston/downstream-midstream-and-chemicals-maintenance-execution-sme-execution-excellence/38138/93464946576
USA,Chevron,Aircraft Parts Coordinator,Management & Administration,"Picayune, Mississippi",,https://careers.chevron.com/job/picayune/aircraft-parts-coordinator/38138/93464945792
USA,Chevron,Aviation Mechanic,Mechanical & Structural,"Picayune, Mississippi",,https://careers.chevron.com/job/picayune/aviation-mechanic/38138/93457021440
Venezuela,Chevron,Competitive Performance Coordinator,Management & Administration,"Caracas, Venezuela",,https://careers.chevron.com/job/caracas/competitive-performance-coordinator/38138/93464944416
