"Country","Company","Title","Category","Location","Date Posted","Link"
"Australia","ConocoPhillips","Senior HSE Coordinator, Health and Safety Work Practices","HSE","Brisbane Qld","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Brisbane-QLD/Senior-HSE-Coordinator--Health-and-Safety-Work-Practices_REQ-005823-1"
"United States","ConocoPhillips","Commercial IT Sr. Data Solution Developer","IT/Technology","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Commercial-IT-Sr-Data-Solution-Developer_REQ-005816"
"Norway","ConocoPhillips","HMS Koordinator","Oil & Gas","Ekofisk Norway","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Ekofisk-Norway/HMS-Koordinator_REQ-005798-1"
"Canada","ConocoPhillips","Gas Plant Operator","Operations","Fort St John BC","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Fort-St-John-BC/Gas-Plant-Operator_REQ-005819"
"United States","ConocoPhillips","Measurement Tech - Dunn Center South","Oil & Gas","Dunn Center MRO","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Dunn-Center-MRO/Measurement-Tech---Dunn-Center-South_REQ-005818"
"United States","ConocoPhillips","Power cash/term trader","Trading & Commercial","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Power-cash-term-trader_REQ-005756-1"
"United Kingdom","ConocoPhillips","Product Control Lead","Oil & Gas","London Uk","","https://conocophillips.wd1.myworkdayjobs.com/External/job/London-UK/Product-Control-Lead_REQ-005766-2"
"United States","ConocoPhillips","US Natural Gas Analyst","Analysis","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/US-Natural-Gas-Analyst_REQ-005711-2"
"United States","ConocoPhillips","Sr. Analyst, Regulatory Compliance","Analysis","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Sr-Analyst--Regulatory-Compliance_REQ-005806"
"United States","ConocoPhillips","Reservoir Engineering Business Analyst","Engineering","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Reservoir-Engineering-Business-Analyst_REQ-005804"
"Canada","ConocoPhillips","Operator","Operations","Fort Mcmurray AB","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Fort-McMurray-AB/Operator_REQ-005815"
"United States","ConocoPhillips","Power Structurer","Trading & Commercial","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Power-Structurer_REQ-005706-2"
"United States","ConocoPhillips","Measurement Tech - Bakken North","Oil & Gas","Watford City ND","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Watford-City-ND/Measurement-Tech---Bakken-North_REQ-005805"
"United States","ConocoPhillips","Digital Transformation Advisor","IT/Technology","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Digital-Transformation-Advisor_REQ-005802"
"United States","ConocoPhillips","Senior Counsel, Corporate Securities","Legal & Compliance","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Counsel--Corporate-Securities_REQ-005797"
"United States","ConocoPhillips","Automation Technician - Kermit, TX","Oil & Gas","Kermit TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Kermit-TX/Automation-Technician---Kermit--TX_REQ-005790"
"United States","ConocoPhillips","Government Affairs Director - New Mexico","Government Affairs","Santa Fe NM","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Santa-Fe-NM/Government-Affairs-Director---New-Mexico_REQ-005780"
"United States","ConocoPhillips","HSE Technician - Bakken","HSE","Watford City ND","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Watford-City-ND/HSE-Technician---Bakken_REQ-005771"
"Norway","ConocoPhillips","Accounts Payable Representative","Oil & Gas","Tananger Norway","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Tananger-Norway/Accounts-Payable-Representative_REQ-005783"
"Norway","ConocoPhillips","Financial Analyst","Analysis","Tananger Norway","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Tananger-Norway/Financial-Analyst_REQ-005782"
"United States","ConocoPhillips","Captain","Marine","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Captain_REQ-005770"
"Norway","ConocoPhillips","Personellkoordinator","Oil & Gas","Tananger Norway","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Tananger-Norway/Personellkoordinator_REQ-005744"
"United States","ConocoPhillips","Trader, West Region","Trading & Commercial","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Trader--West-Region_REQ-005754-1"
"United States","ConocoPhillips","Multi-Skill Operator/Lease Operator/Pumper - Bakken","Operations","Watford City ND","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Watford-City-ND/Multi-Skill-Operator-Lease-Operator-Pumper---Bakken_REQ-005713"
"United States","ConocoPhillips","Power Scheduler","Trading & Commercial","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Power-Scheduler_REQ-005696"
"United States","ConocoPhillips","Regulatory Specialist","Legal & Compliance","Anchorage AK","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Anchorage-AK/Regulatory-Specialist_REQ-005665"
"United States","ConocoPhillips","Commercial Risk Analyst","Analysis","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Commercial-Analyst_REQ-005682"
"United States","ConocoPhillips","Utility - Marine","Marine","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Utility---Marine_REQ-005666"
"United States","ConocoPhillips","Intern, Supply Chain 2026","Internship","Houston TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Houston-TX/Intern--Supply-Chain-2026_REQ-005130"
"United States","ConocoPhillips","Intern, Engineering 2026","Internship","Midland MID","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Midland-MID/Intern--Engineering-2026_REQ-005132"
"United States","ConocoPhillips","HRBP, Permian","Human Resources","Midland TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Midland-TX/HRBP--Midland-Basin_REQ-005660"
"United States","ConocoPhillips","HRBP, Permian","Human Resources","Midland TX","","https://conocophillips.wd1.myworkdayjobs.com/External/job/Midland-TX/HRBP--Midland-Basin_REQ-005628"
