"Country","Company","Title","Category","Location","Date Posted","Link"
"Italy","ENI","EXPERT ANTITRUST","General","Milano, Milano, Italy","2026-04-09","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33227"
"Italy","ENI","EXPERT QUANTUM HARDWARE ENGINEER","Engineering & Technical","Italy","2026-04-09","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33246"
"Italy","ENI","EXPERT QUADRISTA SALA TAF","General","San Donato Milanese, Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32823"
"Italy","ENI","EXPERT PAYMENT SOLUTIONS ARCHITECT","General","Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32938"
"Italy","ENI","JUNIOR ENGINEER EFFICIENZA ENERGETICA B2C","Engineering & Technical","Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32944"
"Italy","ENI","EXPERT CHAPTER PROCESSES OPTIMIZATION","Engineering & Technical","Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32953"
"Italy","ENI","EXPERT ACQUISIZIONE CLIENTI E GESTIONE SUPPLY CHAIN","Supply Chain & Logistics","Milano, Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32956"
"Italy","ENI","ENERGY PERFORMANCE ANALYST","Engineering & Technical","Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32962"
"Italy","ENI","EXPERT GAS PORTFOLIO MANAGEMENT","Management","Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32991"
"Italy","ENI","EXPERT SETTLEMENT","General","Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32993"
"Italy","ENI","EXPERT DATA SCIENTIST","General","Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32997"
"Italy","ENI","JUNIOR ADEMPIMENTI IMPOSTE DIRETTE","General","San Donato Milanese, Milano, Italy","2026-04-08","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33262"
"Italy","ENI","EXPERT PERMITTING","General","Palermo, Italy","2026-04-07","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33012"
"Italy","ENI","JUNIOR CONTRACT HOLDER COLLABORATOR– CATEGORIA PROTETTA (ART.1)","Legal & Compliance","Roma, Italy","2026-04-07","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33020"
"Italy","ENI","EXPERT CRM CONTROL ROOM","Digital & IT","Milano, Italy","2026-04-02","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/31185"
"Italy","ENI","EXPERT CHAPTER MARKETING","General","Milano, Italy","2026-04-02","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32950"
"UK","ENI","MARKET RISK ANALYST (PRODUCTS)","Legal & Compliance","London, United Kingdom","2026-04-01","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/33174"
"Mexico","ENI","TAX COORDINATOR","Finance & Accounting","Mexico","2026-04-01","https://fa-evkm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004/job/32682"
