"Country","Company","Title","Category","Location","Date Posted","Link"
"Netherlands","Fluor","Project Director I","Project Management","Hoofddorp, NL-NH, Netherlands","2026-03-09","https://careers.fluor.com/careers/job/1099552327459"
"USA","Fluor","Senior Manager, Contract Management","Legal & Compliance","Bay Minette, US-AL, United States","2026-04-07","https://careers.fluor.com/careers/job/1099552875366"
"USA","Fluor","HC - Operator - Dozer","General","Fletcher, US-NC, United States","2026-04-07","https://careers.fluor.com/careers/job/1099552874500"
"USA","Fluor","Electrical: Principal Designer","General","Greenville, US-SC, United States","2026-04-07","https://careers.fluor.com/careers/job/1099552872214"
"USA","Fluor","Electrician","Operations & Technical","Greensboro, US-NC, United States","2026-04-07","https://careers.fluor.com/careers/job/1099552871644"
"USA","Fluor","Technician I, Material Management","Operations & Technical","Aliso Viejo, US-CA, United States","2026-04-06","https://careers.fluor.com/careers/job/1099552858682"
"USA","Fluor","Performance Management Lead","General","Sacramento, US-CA, United States","2026-04-06","https://careers.fluor.com/careers/job/1099552858404"
"USA","Fluor","Senior Manager, Infrastructure Material Management","IT & Digital","Houston, US-TX, United States","2026-04-06","https://careers.fluor.com/careers/job/1099552857364"
"USA","Fluor","Director, Infrastructure Contract Management","IT & Digital","Houston, US-TX, United States","2026-04-06","https://careers.fluor.com/careers/job/1099552857304"
"USA","Fluor","Risk Cost Analyst (Project Controls Specialist II)","Project Management","Sacramento, US-CA, United States","2026-04-06","https://careers.fluor.com/careers/job/1099552855990"
"USA","Fluor","Risk Scheduler (Project Controls Specialist IV)","Project Management","Sacramento, US-CA, United States","2026-04-06","https://careers.fluor.com/careers/job/1099552855653"
"USA","Fluor","Associate IT Operations Specialist I","IT & Digital","Greenville, US-SC, United States","2026-04-07","https://careers.fluor.com/careers/job/1099552854569"
"USA","Fluor","Multi Disc Craft Superintendent II (Night Shift)","General","Lebanon, US-IN, United States","2026-04-07","https://careers.fluor.com/careers/job/1099552851796"
"USA","Fluor","Pipefitter","Operations & Technical","Masontown, US-PA, United States","2026-04-03","https://careers.fluor.com/careers/job/1099552836679"
"USA","Fluor","Boilermaker","Operations & Technical","Masontown, US-PA, United States","2026-04-03","https://careers.fluor.com/careers/job/1099552836559"
"USA","Fluor","Pipefitter","Operations & Technical","Ironton, US-OH, United States","2026-04-03","https://careers.fluor.com/careers/job/1099552836468"
"USA","Fluor","Boilermaker","Operations & Technical","Ironton, US-OH, United States","2026-04-03","https://careers.fluor.com/careers/job/1099552836330"
"USA","Fluor","Electrical Supervisor (TS/SCI with Polygraph Clearance Required)","General","Aurora, US-CO, United States","2026-04-03","https://careers.fluor.com/careers/job/1099552833646"
"USA","Fluor","Designer - AutoCAD (TS/SCI with Polygraph Clearance Required)","General","Aurora, US-CO, United States","2026-04-03","https://careers.fluor.com/careers/job/1099552832900"
"Canada","Fluor","Intermediate Site Cost Specialist","Communications & Marketing","Fort Saskatchewan, CA-AB, Canada","2026-04-02","https://careers.fluor.com/careers/job/1099552823072"
"USA","Fluor","Boilermaker","Operations & Technical","Odessa, US-TX, United States","2026-04-02","https://careers.fluor.com/careers/job/1099552822794"
"USA","Fluor","Senior Manager, Quality","Quality & Inspection","Decatur, US-IL, United States","2026-04-02","https://careers.fluor.com/careers/job/1099552822787"
"USA","Fluor","Boilermaker Welder - Tube","Operations & Technical","Odessa, US-TX, United States","2026-04-02","https://careers.fluor.com/careers/job/1099552822764"
"USA","Fluor","Senior Building Design Specialist","General","Greenville, US-SC, United States","2026-04-03","https://careers.fluor.com/careers/job/1099552822505"
"USA","Fluor","Engineering Technician I - Architectural Intern","Internship","Houston, US-TX, United States","2026-04-06","https://careers.fluor.com/careers/job/1099552819224"
"USA","Fluor","Senior Industrial Engineer, Project Development Studio","General","Greenville, US-SC, United States","2026-04-02","https://careers.fluor.com/careers/job/1099552816546"
"USA","Fluor","HSE Sr Manager, Site Management","HSE","Moreno Valley, US-CA, United States","2026-04-06","https://careers.fluor.com/careers/job/1099552811944"
"USA","Fluor","HVAC Design Engineer III Houston (SRPPF)","General","Houston, US-TX, United States","2026-04-02","https://careers.fluor.com/careers/job/1099552811139"
