Title,Company,Location,Country,Date_Posted,Job_URL
"ESG-Field Prof, Assoc-L&P",Halliburton,"Cairo, Cairo Governorate , Egypt",Egypt,2026-03-28,https://careers.halliburton.com/en/job/cairo/esg-field-prof-assoc-l-and-p/543/93313872480
"Trinidad - San Fernando: Technical Professional,  Pipeline and Process Services",Halliburton,"San Fernando, San Fernando , Trinidad and Tobago",Trinidad and Tobago,2026-03-28,https://careers.halliburton.com/en/job/san-fernando/trinidad-san-fernando-technical-professional-pipeline-and-process-services/543/93299280496
"Suriname - Paramaribo: Field Service Manager, Wireline and Perforating",Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2026-03-28,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-field-service-manager-wireline-and-perforating/543/93299280480
Suriname - Paramaribo: Inventory Planner,Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2026-03-28,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-inventory-planner/543/93299280448
Svc Spec I-Artificial Lift,Halliburton,"Coca, Provincia del Azuay , Ecuador",Ecuador,2026-03-27,https://careers.halliburton.com/en/job/coca/svc-spec-i-artificial-lift/543/93283723792
Bulk Material Operator (I-III) - Cementing,Halliburton,"Duncan, OK , United States",United States,2026-03-27,https://careers.halliburton.com/en/job/duncan/bulk-material-operator-i-iii-cementing/543/93283723728
Well Control Specialist (II - III - IV) - Boots & Coots,Halliburton,"Houston, TX , United States",United States,2026-03-27,https://careers.halliburton.com/en/job/houston/well-control-specialist-ii-iii-iv-boots-and-coots/543/93283723680
Well Control Specialist (II - III - IV) - Boots & Coots,Halliburton,"Houston, TX , United States",United States,2026-03-27,https://careers.halliburton.com/en/job/houston/well-control-specialist-ii-iii-iv-boots-and-coots/543/93283723632
Brasil - Rio de Janeiro - Macaé: Programa de Estágio Técnico 2026,Halliburton,"Macaé, Rio de Janeiro , Brazil",Brazil,2026-03-27,https://careers.halliburton.com/en/job/macae/brasil-rio-de-janeiro-macae-programa-de-estagio-tecnico-2026/543/93277034240
"Associate Technical Professional , Completions",Halliburton,"France , France",France,2026-03-27,https://careers.halliburton.com/en/job/france/associate-technical-professional-completions/543/84986952816
"Associate Technical Professional, cementing",Halliburton,"France , France",France,2026-03-27,https://careers.halliburton.com/en/job/france/associate-technical-professional-cementing/543/84986952832
"Tech Prof-Cementing, Associate",Halliburton,"Ploieşti, Prahova , Romania",Romania,2026-03-27,https://careers.halliburton.com/en/job/ploiesti/tech-prof-cementing-associate/543/93273006320
Negara_Brunei Intern,Halliburton,"Negara, Bali , Indonesia",Indonesia,2026-03-27,https://careers.halliburton.com/en/job/negara/negara-brunei-intern/543/93266940768
Electrical Engineer (Senior - Principal),Halliburton,"Texas, US , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/texas/electrical-engineer-senior-principal/543/93244815552
Accountant,Halliburton,"Bucharest, București , Romania",Romania,2026-03-27,https://careers.halliburton.com/en/job/bucharest/accountant/543/88298558832
"K397-ESG-Laborer, Foreman",Halliburton,"Ban Bo Phawong, Nakhon Sawan , Thailand",Thailand,2026-03-27,https://careers.halliburton.com/en/job/ban-bo-phawong/k397-esg-laborer-foreman/543/93261156224
Vedlikeholdsmekaniker - Completion Tools MLT Workshop Bryne,Halliburton,"Stavanger, Rogaland , Norway",Norway,2026-03-27,https://careers.halliburton.com/en/job/stavanger/vedlikeholdsmekaniker-completion-tools-mlt-workshop-bryne/543/89824708432
Technical Professional-Principal (Completions),Halliburton,"Kuala Lumpur, Kuala Lumpur , Malaysia",Malaysia,2026-03-27,https://careers.halliburton.com/en/job/kuala-lumpur/technical-professional-principal-completions/543/93261156176
"R505-ESG-Account Rep, Bus Dev, Sr",Halliburton,"Beijing, Beijing Municipality , China",China,2026-03-27,https://careers.halliburton.com/en/job/beijing/r505-esg-account-rep-bus-dev-sr/543/93261156144
Brazil - Rio de Janeiro - Ilha do Fundão: Intern (LSS),Halliburton,"Rio de Janeiro, Rio de Janeiro , Brazil",Brazil,2026-03-26,https://careers.halliburton.com/en/job/rio-de-janeiro/brazil-rio-de-janeiro-ilha-do-fundao-intern-lss/543/93227242416
Materials Control Specialist,Halliburton,"Roma, Queensland , Australia",Australia,2026-03-27,https://careers.halliburton.com/en/job/roma/materials-control-specialist/543/93249460832
Vedlikeholdsmekaniker -  Liner Hanger Workshop (ELH) - Completion Tools,Halliburton,"Stavanger, Rogaland , Norway",Norway,2026-03-26,https://careers.halliburton.com/en/job/stavanger/vedlikeholdsmekaniker-liner-hanger-workshop-elh-completion-tools/543/93244815504
Argentina - Neuquén: Applications Engineer - Drill Bits Svcs,Halliburton,"Argentina , Argentina",Argentina,2026-03-26,https://careers.halliburton.com/en/job/argentina/argentina-neuquen-applications-engineer-drill-bits-svcs/543/93244815456
Crane Operator - B&C (I - III),Halliburton,"Duncan, OK , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/duncan/crane-operator-b-and-c-i-iii/543/93237306176
Senior Technical Professional (Manufacturing),Halliburton,"Spring, TX , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/spring/senior-technical-professional-manufacturing/543/93237306160
Mechanic Technician (I-III) - Maintenance,Halliburton,"Williston, ND , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/williston/mechanic-technician-i-iii-maintenance/543/93233314368
Electronics Technician - Senior Electronics Technician - Artificial Lift,Halliburton,"Odessa, TX , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/odessa/electronics-technician-senior-electronics-technician-artificial-lift/543/93233314352
Technical Professional - Principal Technical Professional - Elect/Electronics,Halliburton,"Alvarado, TX , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/alvarado/technical-professional-principal-technical-professional-elect-electronics/543/93233314336
Sustaining Engineering Team Lead,Halliburton,"Duncan, OK , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/duncan/sustaining-engineering-team-lead/543/93233314320
Operator Assistant Trainee,Halliburton,"Duncan, OK , United States",United States,2026-03-26,https://careers.halliburton.com/en/job/duncan/operator-assistant-trainee/543/91652522640
