"Country","Company","Title","Category","Location","Date Posted","Link"
"Australia","INPEX","Graduate Process Safety Engineer","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Process-Safety-Engineer/17792-en_GB"
"Australia","INPEX","Electrical Engineering Vacation Student - Perth","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Electrical-Engineering-Vacation-Student-Perth/17793-en_GB"
"Australia","INPEX","Electrical Engineering Vacation Student - Darwin","Internship/Graduate","Darwin, Australia","2026-03-27","https://careers.inpex.com.au/job/Electrical-Engineering-Vacation-Student-Darwin/17794-en_GB"
"Australia","INPEX","Mechanical Engineering Vacation Student - Perth","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Mechanical-Engineering-Vacation-Student-Perth/17795-en_GB"
"Australia","INPEX","Mechanical Engineering Vacation Student - Darwin","Internship/Graduate","Darwin, Australia","2026-03-27","https://careers.inpex.com.au/job/Mechanical-Engineering-Vacation-Student-Darwin/17796-en_GB"
"Australia","INPEX","Chemical Engineering Vacation Student - Perth","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Chemical-Engineering-Vacation-Student-Perth/17797-en_GB"
"Australia","INPEX","Chemical Engineering Vacation Student - Darwin","Internship/Graduate","Darwin, Australia","2026-03-27","https://careers.inpex.com.au/job/Chemical-Engineering-Vacation-Student-Darwin/17798-en_GB"
"Australia","INPEX","Instrument and Control Engineering Vacation Student - Perth","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Instrument-and-Control-Engineering-Vacation-Student-Perth/17799-en_GB"
"Australia","INPEX","Instrument and Control Engineering Vacation Student - Darwin","Internship/Graduate","Darwin, Australia","2026-03-27","https://careers.inpex.com.au/job/Instrument-and-Control-Engineering-Vacation-Student-Darwin/17800-en_GB"
"Australia","INPEX","Graduate Electrical Engineer - Perth","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Electrical-Engineer-Perth/17801-en_GB"
"Australia","INPEX","Graduate Electrical Engineer - Darwin","Internship/Graduate","Darwin, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Electrical-Engineer-Darwin/17802-en_GB"
"Australia","INPEX","Graduate Mechanical Engineer - Perth","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Mechanical-Engineer-Perth/17803-en_GB"
"Australia","INPEX","Graduate Mechanical Engineer - Darwin","Internship/Graduate","Darwin, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Mechanical-Engineer-Darwin/17804-en_GB"
"Australia","INPEX","Graduate Chemical Engineer - Perth","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Chemical-Engineer-Perth/17805-en_GB"
"Australia","INPEX","Graduate Chemical Engineer - Darwin","Internship/Graduate","Darwin, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Chemical-Engineer-Darwin/17806-en_GB"
"Australia","INPEX","Graduate Instrument and Control Engineer - Perth","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Instrument-and-Control-Engineer-Perth/17808-en_GB"
"Australia","INPEX","Graduate Instrument and Control Engineer - Darwin","Internship/Graduate","Darwin, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Instrument-and-Control-Engineer-Darwin/17809-en_GB"
"Australia","INPEX","Finance and Accounting Vacation Student","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Finance-and-Accounting-Vacation-Student/17816-en_GB"
"Australia","INPEX","Contracts and Procurement Vacation Student","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Contracts-and-Procurement-Vacation-Student/17786-en_GB"
"Australia","INPEX","Technology Vacation Student","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Technology-Vacation-Student/17787-en_GB"
"Australia","INPEX","Corporate Affairs Vacation Student","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Corporate-Affairs-Vacation-Student/17788-en_GB"
"Australia","INPEX","Graduate Drilling Engineer","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Drilling-Engineer/17789-en_GB"
"Australia","INPEX","Graduate Technology Advisor","Internship/Graduate","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Graduate-Technology-Advisor/17790-en_GB"
"Australia","INPEX","Shutdown Team Lead","Engineering & Operations","Perth, Australia","2026-03-27","https://careers.inpex.com.au/job/Shutdown-Team-Lead/17818-en_GB"
