"Country","Company","Title","Category","Location","Date Posted","Link"
"Indonesia","INPEX","Senior Specialist Economics","Business Development","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Specialist%20Economics/T20231200005"
"Indonesia","INPEX","Lead External Relation","Government & Public Affairs","Indonesia","","https://career.inpex.co.id/jobdetail/Lead%20External%20Relation/T20231200013"
"Indonesia","INPEX","Specialist Project Procurement","Contracts & Procurement","Indonesia","","https://career.inpex.co.id/jobdetail/Specialist%20Project%20Procurement/T20231200019"
"Indonesia","INPEX","Senior Counsel Project","Legal & Compliance","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Counsel%20Project/T20231200021"
"Indonesia","INPEX","Senior Subsea Production System Engineer","Operations & Maintenance","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Subsea%20Production%20System%20Engineer/T20231200041"
"Indonesia","INPEX","Senior Engineer System Engineering","Other","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Engineer%20System%20Engineering/T20231200043"
"Indonesia","INPEX","Senior Engineer Project Assurance","Planning & Assurance","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Engineer%20Project%20Assurance/T20231200044"
"Indonesia","INPEX","Senior Process / Utilities Engineer (FPSO)","Process Engineering","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Process%20%20Utilities%20Engineer%20(FPSO)/T20240200004"
"Indonesia","INPEX","Specialist Funding","Finance & Accounting","Indonesia","","https://career.inpex.co.id/jobdetail/Specialist%20Funding/T20240500002"
"Indonesia","INPEX","Senior Topside Construction Engineer","Construction & Commissioning","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Topside%20Construction%20Engineer/T20240500006"
"Indonesia","INPEX","Senior Engineer Reliability, Availability, Maintainability","Operations & Maintenance","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Engineer%20Reliability%2C%20Availability%2C%20Maintainability/T20240500014"
"Indonesia","INPEX","Engineering & Supplies Coordination Long Lead Item Engineer (OLNG)","Management","Indonesia","","https://career.inpex.co.id/jobdetail/Engineering%20%20Supplies%20Coordination%20Long%20Lead%20Item%20Engineer%20(OLNG)/T20241200008"
"Indonesia","INPEX","Project Specialist (FPSO)","Project Management","Indonesia","","https://career.inpex.co.id/jobdetail/Project%20Specialist%20(FPSO)/T20241200011"
"Indonesia","INPEX","Project Contract Advisor","Project Management","Indonesia","","https://career.inpex.co.id/jobdetail/Project%20Contract%20Advisor/T20241200012"
"Indonesia","INPEX","Senior Contracting Specialist","Contracts & Procurement","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Contracting%20Specialist/T20241200019"
"Indonesia","INPEX","Specialist Land Acquisition","Legal & Compliance","Indonesia","","https://career.inpex.co.id/jobdetail/Specialist%20Land%20Acquisition/T20241200022"
"Indonesia","INPEX","Senior Counsel Commercial","Legal & Compliance","Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Counsel%20Commercial/T20250200001"
"Indonesia","INPEX","Manager Treasury","Finance & Accounting","Indonesia","","https://career.inpex.co.id/jobdetail/Manager%20Treasury/T20250300001"
"Indonesia","INPEX","Head Recruitment","HR & Training","Indonesia","","https://career.inpex.co.id/jobdetail/Head%20Recruitment/T20250400001"
