"Country","Company","Title","Category","Location","Date Posted","Link"
"Australia","INPEX","Operations Technician Services","Technical","Australia","2026-03-18","https://careers.inpex.com.au/job/17822/Operations-Technician-Services"
"Australia","INPEX","Administration Assistant","Administration","Darwin, NT, Australia","2026-03-09","https://careers.inpex.com.au/job/17817/Administration-Assistant"
"Australia","INPEX","Finance and Accounting Vacation Student","Graduate & Internship","Perth, WA, Australia","2026-03-05","https://careers.inpex.com.au/job/17816/Finance-and-Accounting-Vacation-Student"
"Australia","INPEX","Graduate Process Safety Engineer","Graduate & Internship","Perth, WA, Australia","2026-03-02","https://careers.inpex.com.au/job/17792/Graduate-Process-Safety-Engineer"
"Australia","INPEX","Electrical Engineering Vacation Student - Perth","Graduate & Internship","Perth, WA, Australia","2026-03-02","https://careers.inpex.com.au/job/17793/Electrical-Engineering-Vacation-Student-Perth"
"Australia","INPEX","Electrical Engineering Vacation Student - Darwin","Graduate & Internship","Darwin, NT, Australia","2026-03-02","https://careers.inpex.com.au/job/17794/Electrical-Engineering-Vacation-Student-Darwin"
"Australia","INPEX","Mechanical Engineering Vacation Student - Perth","Graduate & Internship","Perth, WA, Australia","2026-03-02","https://careers.inpex.com.au/job/17795/Mechanical-Engineering-Vacation-Student-Perth"
"Australia","INPEX","Mechanical Engineering Vacation Student - Darwin","Graduate & Internship","Perth, WA, Australia","2026-03-02","https://careers.inpex.com.au/job/17796/Mechanical-Engineering-Vacation-Student-Darwin"
"Australia","INPEX","Chemical Engineering Vacation Student - Perth","Graduate & Internship","Perth, WA, Australia","2026-03-02","https://careers.inpex.com.au/job/17797/Chemical-Engineering-Vacation-Student-Perth"
"Australia","INPEX","Chemical Engineering Vacation Student - Darwin","Graduate & Internship","Darwin, NT, Australia","2026-03-02","https://careers.inpex.com.au/job/17798/Chemical-Engineering-Vacation-Student-Darwin"
"Australia","INPEX","Instrument and Control Engineering Vacation Student - Perth","Graduate & Internship","Perth, WA, Australia","2026-03-02","https://careers.inpex.com.au/job/17799/Instrument-and-Control-Engineering-Vacation-Student-Perth"
"Australia","INPEX","Instrument and Control Engineering Vacation Student - Darwin","Graduate & Internship","Darwin, NT, Australia","2026-03-02","https://careers.inpex.com.au/job/17800/Instrument-and-Control-Engineering-Vacation-Student-Darwin"
"Australia","INPEX","Graduate Electrical Engineer - Perth","Graduate & Internship","Perth, WA, Australia","2026-03-02","https://careers.inpex.com.au/job/17801/Graduate-Electrical-Engineer-Perth"
"Indonesia","INPEX","Senior Specialist Economics","Technical","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Specialist%20Economics/T20231200005"
"Indonesia","INPEX","Lead External Relation","Government & External Affairs","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Lead%20External%20Relation/T20231200013"
"Indonesia","INPEX","Specialist Project Procurement","Technical","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Specialist%20Project%20Procurement/T20231200019"
"Indonesia","INPEX","Senior Counsel Project","Legal & Compliance","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Counsel%20Project/T20231200021"
"Indonesia","INPEX","Senior Subsea Production System Engineer","Engineering","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Subsea%20Production%20System%20Engineer/T20231200041"
"Indonesia","INPEX","Senior Engineer System Engineering","Engineering","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Engineer%20System%20Engineering/T20231200043"
"Indonesia","INPEX","Senior Engineer Project Assurance","Engineering","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Engineer%20Project%20Assurance/T20231200044"
"Indonesia","INPEX","Administrative Assistant","Administration","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Administrative%20Assistant/T20231200051"
"Indonesia","INPEX","Senior Process / Utilities Engineer (FPSO)","Engineering","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Senior%20Process%20%20Utilities%20Engineer%20(FPSO)/T20240200004"
"Indonesia","INPEX","Specialist Funding","Technical","Jakarta, Indonesia","","https://career.inpex.co.id/jobdetail/Specialist%20Funding/T20240500002"
