"Country","Company","Title","Category","Location","Date Posted","Link"
"USA","KBR","*SkillBridge Only* MCPP - Lead ISO 9001:2015 Auditor","Internship","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Jacksonville-Florida/XMLNAME--SkillBridge-Only--MCPP---Lead-ISO-9001-2015-Auditor_R2121527"
"USA","KBR","*SkillBridge Only* MCPP - Planning Specialist (MCPIC)","Internship","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Jacksonville-Florida/XMLNAME--SkillBridge-Only--MCPP---Planning-Specialist--MCPIC-_R2121526"
"USA","KBR","IT System Administrator","IT & Digital","Wallops Island, Virginia","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Wallops-Island-Virginia/IT-System-Administrator_R2121538"
"USA","KBR","National Security Solutions (NSS) - Government Property Specialist Internship","Internship","Ann Arbor, Michigan","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Ann-Arbor-Michigan/National-Security-Solutions--NSS----Government-Property-Specialist-Internship_R2121411"
"USA","KBR","MQ-25 Logistics Support","Supply Chain & Logistics","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Patuxent-River-Maryland/MQ-25-Logistics-Support_R2121355"
"USA","KBR","Senior Stakeholder Engagement Advisor","Communications & Marketing","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Huntsville-Alabama/Senior-Stakeholder-Engagement-Advisor_R2117149"
"USA","KBR","Intellectual Property & Data Rights Specialist","General","Huntsville, Alabama","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Huntsville-Alabama/Intellectual-Property---Data-Rights-Specialist_R2121537"
"USA","KBR","MQ-25 Aircrew Instructor","General","Patuxent River, Maryland","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Patuxent-River-Maryland/MQ-25-Aircrew-Instructor_R2121532"
"USA","KBR","Chief Technical leader - Refining Catalyst Development","Process & Chemical Engineering","Houston, Texas","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Houston-Texas/Chief-Technical-leader---Refining-Catalyst-Development_R2121282"
"USA","KBR","Security Control Assessor","Security & Defense","Washington DC Metro Area","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Washington-DC-Metro-Area/Security-Control-Assessor_R2121534"
"USA","KBR","NC3 / ITW/AA Analyst","Science & Research","Colorado Springs, Colorado","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Colorado-Springs-Colorado/NC3---ITW-AA-Analyst_R2121533-1"
"USA","KBR","Knowledge Management Support","General","Patrick AFB, Florida","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Patrick-AFB-Florida/Knowledge-Management-Support_R2121531"
"USA","KBR","Logistics Clerk","Supply Chain & Logistics","Phoenix, Arizona","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Phoenix-Arizona/Logistics-Clerk_R2121407-1"
"Saudi Arabia","KBR","PSAB ESS: Engineering Technician (Secret Clearance)","Operations & Technical","Saudi Arabia","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Al-Kharj-Saudi-Arabia/PSAB-ESS--Engineering-Technician--Secret-Clearance-_R2121521"
"USA","KBR","Senior Accounting Manager","Finance & Accounting","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Houston-Texas/Sr-Manager--Accounting_R2120508-1"
"USA","KBR","Contractor Special/Program Security Officer","Legal & Compliance","Colorado Springs, Colorado","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Colorado-Springs-Colorado/Contractor-Special-Program-Security-Officer_R2121295"
"USA","KBR","Senior Information Systems Security Officer (ISSO)","Security & Defense","Warner Robins, Georgia","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Warner-Robins-Georgia/Senior-Information-Systems-Security-Officer--ISSO-_R2121508"
"USA","KBR","Senior Information Systems Security Officer (ISSO)","Security & Defense","Warner Robins, Georgia","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Warner-Robins-Georgia/Senior-Information-Systems-Security-Officer--ISSO-_R2121509-1"
"Turkey","KBR","LCV EUCOM Turkey: HSE Specialist","HSE","Kurecik, Malatya, Turkey","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Kurecik-Malatya-Turkey/LCV-EUCOM-Turkey--HSE-Specialist_R2121522"
"USA","KBR","Science Journalist","Science & Research","Sioux Falls, South Dakota","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Sioux-Falls-South-Dakota/Science-Journalist_R2121511"
"Poland","KBR","LCV EUCOM Poland: GS Site Supervisor","General","Trzebien Obozowisko, Poland","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Trzebien-Obozowisko-Poland/LCV-EUCOM-Poland--GS-Site-Supervisor_R2121520"
"Lithuania","KBR","LCV EUCOM Lithuania: GS Site Supervisor","General","Meskerine, Lithuania","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Meskerine-Lithuania/LCV-EUCOM-Lithuania--GS-Site-Supervisor_R2121516"
"USA","KBR","Senior Functional Budget Analyst","Finance & Accounting","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Chantilly-Virginia/Functional-Budget-Analyst_R2120664"
"USA","KBR","Technical Writer","General","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Niceville-Florida/Technical-Writer_R2121514"
"USA","KBR","Data Engineer","IT & Digital","Honolulu, Hawaii","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Honolulu-Hawaii/Data-Engineer_R2121515"
"USA","KBR","Data Engineer","IT & Digital","Camarillo, California","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Camarillo-California/Data-Engineer_R2121517"
"USA","KBR","APS-3: Heavy Wheel Truck Driver","General","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Charleston-South-Carolina/APS-3--Heavy-Wheel-Truck-Driver_R2119442"
"USA","KBR","Big Data Systems Engineer","General","USA","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Niceville-Florida/Big-Data-Systems-Engineer_R2121513"
"USA","KBR","Threat and Functional SME","General","Arlington, Virginia","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Arlington-Virginia/Senior-IAMD-Analyst_R2121470"
"USA","KBR","Mechanical Engineer","Engineering","Clearfield, Utah","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Clearfield-Utah/Mechanical-Engineer_R2121472"
"USA","KBR","Mechanical Engineer","Engineering","Clearfield, Utah","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Clearfield-Utah/Mechanical-Engineer_R2121445"
"USA","KBR","Journeyman, HVAC Boiler Chiller APG","General","Aberdeen Proving Ground, Maryland","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Aberdeen-Proving-Ground-Maryland/Journeyman--HVAC-Boiler-Chiller-APG_R2121130"
"USA","KBR","Operations Research Analyst","Operations & Technical","Beavercreek, Ohio","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Beavercreek-Ohio/Operations-Research-Analyst_R2121507"
"USA","KBR","Project Controls Internship 2026","Internship","Houston, Texas","2026-04-08","https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Houston-Texas/Project-Controls-Internship-2026_R2121506"
