"Country","Company","Title","Category","Location","Date Posted","Link"
"India","Larsen & Toubro","Document Controller","Engineering & Technical","AMN Tower, Powai, India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1710418"
"India","Larsen & Toubro","Head Operations & Projects (Green Ammonia)","Engineering & Technical","Kandla, India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1715579"
"Kuwait","Larsen & Toubro","QA/QC Supervisor - Mechanical","Management","Kuwait","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1715519"
"India","Larsen & Toubro","Program Manager","Management","Bengaluru, India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1698953"
"India","Larsen & Toubro","Algorithm Architect - MCU","Engineering & Technical","Bengaluru, India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1698869"
"India","Larsen & Toubro","Algo Architect - ADAS","Engineering & Technical","Bengaluru, India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1699013"
"India","Larsen & Toubro","Engineering Quotation Leader","Management","Bengaluru, India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1704299"
"India","Larsen & Toubro","Business Operations Leader","Management","Bengaluru, India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1667654"
"India","Larsen & Toubro","Algorithm Developer","Digital & IT","Bengaluru, India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1704412"
"India","Larsen & Toubro","Sr. CAD Designer - MEP","Engineering & Technical","Chennai Head Qrs., India","2026-04-07","https://larsentoubrocareers.peoplestrong.com/job/detail/1713786"
"India","Larsen & Toubro","Procurement Manager","Supply Chain & Logistics","Mandsaur, Madhya Pradesh, India","2026-04-06","https://larsentoubrocareers.peoplestrong.com/job/detail/1709066"
"India","Larsen & Toubro","Quality Engineer","Engineering & Technical","Surat, India","2026-04-06","https://larsentoubrocareers.peoplestrong.com/job/detail/1625527"
"India","Larsen & Toubro","Site Supervisor (Civil)","Management","Surat, India","2026-04-06","https://larsentoubrocareers.peoplestrong.com/job/detail/1625881"
"India","Larsen & Toubro","Sr. Engineer (Civil)","Engineering & Technical","Surat, India","2026-04-06","https://larsentoubrocareers.peoplestrong.com/job/detail/1625788"
"India","Larsen & Toubro","Assistant Construction Manager (Civil)","Management","Surat, India","2026-04-06","https://larsentoubrocareers.peoplestrong.com/job/detail/1625698"
"India","Larsen & Toubro","Asst. Manager - IR / Admin","Management","Faridabad, India","2026-04-06","https://larsentoubrocareers.peoplestrong.com/job/detail/1671981"
"India","Larsen & Toubro","IR & Admin Executive","General","Chennai, India","2026-04-06","https://larsentoubrocareers.peoplestrong.com/job/detail/1623811"
"India","Larsen & Toubro","Technical Writer","Engineering & Technical","Powai Campus, India","2026-04-06","https://larsentoubrocareers.peoplestrong.com/job/detail/1711929"
"India","Larsen & Toubro","Formwork Design Engineer","Engineering & Technical","Chennai Head Qrs., India","2026-04-04","https://larsentoubrocareers.peoplestrong.com/job/detail/1701239"
"India","Larsen & Toubro","Formwork Design Engineer","Engineering & Technical","Chennai Head Qrs., India","2026-04-04","https://larsentoubrocareers.peoplestrong.com/job/detail/1703728"
"India","Larsen & Toubro","Draughtsperson","General","Chennai Head Qrs., India","2026-04-04","https://larsentoubrocareers.peoplestrong.com/job/detail/1679068"
"India","Larsen & Toubro","Store Manager","Management","Patna, India","2026-04-04","https://larsentoubrocareers.peoplestrong.com/job/detail/1692569"
"India","Larsen & Toubro","Stores Executive","General","Durgapur, India","2026-04-04","https://larsentoubrocareers.peoplestrong.com/job/detail/1692449"
"India","Larsen & Toubro","Surveyor","Engineering & Technical","Gadarwara, Madhya Pradesh, India","2026-04-04","https://larsentoubrocareers.peoplestrong.com/job/detail/1710130"
"India","Larsen & Toubro","Manager- Facility Management","Management","Mumbai, India","2026-04-03","https://larsentoubrocareers.peoplestrong.com/job/detail/1713289"
"India","Larsen & Toubro","Technical & Commercial Executive-CEB","Business & Operations","Bengaluru L N Complex, India","2026-04-02","https://larsentoubrocareers.peoplestrong.com/job/detail/1712897"
"India","Larsen & Toubro","Manager-PSD","Management","Kancheepuram, India","2026-04-02","https://larsentoubrocareers.peoplestrong.com/job/detail/1712846"
"India","Larsen & Toubro","Head of R&D — Power Electronics Converters & BESS","Management","Bengaluru, India","2026-04-02","https://larsentoubrocareers.peoplestrong.com/job/detail/1705058"
"India","Larsen & Toubro","Lead - Product Testing and Validation","Management","Bengaluru, India","2026-04-02","https://larsentoubrocareers.peoplestrong.com/job/detail/1710549"
"India","Larsen & Toubro","Engineer - NPP Buckstay","Engineering & Technical","Knowledge City Vadodara - VAD3, India","2026-04-02","https://larsentoubrocareers.peoplestrong.com/job/detail/1710220"
"India","Larsen & Toubro","Layout Engineer_Boiler","Engineering & Technical","Knowledge City Vadodara - VAD3, India","2026-04-02","https://larsentoubrocareers.peoplestrong.com/job/detail/1703942"
"India","Larsen & Toubro","Instrumentation and Control Engineer (DCS Engineer)","Engineering & Technical","Vadodara, India","2026-04-02","https://larsentoubrocareers.peoplestrong.com/job/detail/1703724"
"India","Larsen & Toubro","Category Manager-Non-IT Procurement, Data Center & Cloud Services","Digital & IT","AMN Tower, Powai, India","2026-04-02","https://larsentoubrocareers.peoplestrong.com/job/detail/1711690"
"Saudi Arabia","Larsen & Toubro","Asst. eALPS+ Administrator","Management","Kingdom Of Saudi Arabia, Saudi Arabia","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1711353"
"India","Larsen & Toubro","Senior Engineer","Engineering & Technical","Faridabad, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1669042"
"India","Larsen & Toubro","Depot Layout Engineer","Engineering & Technical","Faridabad, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1675087"
"India","Larsen & Toubro","Asst Engineering Manager","Management","Faridabad, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1677770"
"India","Larsen & Toubro","Domain Architect & Digital Adviser – Cyber security /OA &IT System","Digital & IT","Faridabad, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1625015"
"India","Larsen & Toubro","Ballast less Track Designer","Engineering & Technical","Faridabad, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1627752"
"India","Larsen & Toubro","Draft Person - BLT","General","Faridabad, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1629011"
"India","Larsen & Toubro","Asst Engineering Manager -Signalling","Management","Faridabad, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1698293"
"India","Larsen & Toubro","Project Management - CIWS (Radar)","Management","Powai Campus, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1704630"
"India","Larsen & Toubro","Lead Design Engineer Civil & Structural - Renewables  (Utility Scale Solar PV, BESS and Wind)","Management","Chennai Head Qrs., India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1673925"
"India","Larsen & Toubro","T&C Engineer","Engineering & Technical","Ahmedabad, India","2026-04-01","https://larsentoubrocareers.peoplestrong.com/job/detail/1695135"
"India","Larsen & Toubro","Design Engineer – HVAC (Data Center)","Engineering & Technical","AMN Tower, Powai, India","2026-03-31","https://larsentoubrocareers.peoplestrong.com/job/detail/1710104"
"India","Larsen & Toubro","Design Engineer – Fire Protection & ELV Services","Engineering & Technical","AMN Tower, Powai, India","2026-03-31","https://larsentoubrocareers.peoplestrong.com/job/detail/1710108"
"India","Larsen & Toubro","Architect – Data Center Design","Engineering & Technical","AMN Tower, Powai, India","2026-03-31","https://larsentoubrocareers.peoplestrong.com/job/detail/1710131"
"India","Larsen & Toubro","QC Engineer","Engineering & Technical","Hazira Mfg Complex, India","2026-03-31","https://larsentoubrocareers.peoplestrong.com/job/detail/1710096"
"India","Larsen & Toubro","QC Engineer","Engineering & Technical","Hazira Mfg Complex, India","2026-03-31","https://larsentoubrocareers.peoplestrong.com/job/detail/1710098"
"India","Larsen & Toubro","Engineer Quality LMTG","Engineering & Technical","Hazira Mfg Complex, India","2026-03-31","https://larsentoubrocareers.peoplestrong.com/job/detail/1710099"
