"Country","Company","Title","Category","Location","Date Posted","Link"
"India","Larsen & Toubro","HSE Manager","HSE","Kattupalli, India","2026-03-18","https://larsentoubrocareers.peoplestrong.com/job/detail/1702462"
"India","Larsen & Toubro","Quatity Surveyor","Other","Kattupalli, India","2026-03-18","https://larsentoubrocareers.peoplestrong.com/job/detail/1702471"
"India","Larsen & Toubro","Assistant Engineer - NPI PM","Other","Coimbatore Campus, India","2026-03-18","https://larsentoubrocareers.peoplestrong.com/job/detail/1684891"
"India","Larsen & Toubro","DGM-Subcontracts -Kattuppalli","Project Management","Kattupalli, India","2026-03-18","https://larsentoubrocareers.peoplestrong.com/job/detail/1678911"
"UAE","Larsen & Toubro","Sr. Lead Engineering Manager - Design","Other","Dubai, UAE","2026-03-18","https://larsentoubrocareers.peoplestrong.com/job/detail/1700805"
"India","Larsen & Toubro","MBCL (Residential) - Survey (TC/SP)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700737"
"India","Larsen & Toubro","MBCL (Residential) - FA&A - IR (S&E)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700710"
"India","Larsen & Toubro","MBCL (Residential) - FA&A - IR (Tier 1)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700700"
"India","Larsen & Toubro","MBCL (Residential) - Surveyor (Tier 1)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700720"
"India","Larsen & Toubro","MBCL (Residential) - Rebar/BBS (S&E)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700182"
"India","Larsen & Toubro","MBCL (Residential) - Survey (S&E)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700731"
"India","Larsen & Toubro","MBCL (Residential) - Finishes (S&E)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700224"
"India","Larsen & Toubro","MBCL (Residential) - Rebar/BBS (Tier 1)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700153"
"India","Larsen & Toubro","MBCL (Residential) - Stores (S&E)","Supply Chain & Logistics","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700684"
"India","Larsen & Toubro","MBCL (Residential) - Finishing (Tier 1)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700216"
"India","Larsen & Toubro","MBCL (Residential) - Rebar/BBS (TC/SP)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700201"
"India","Larsen & Toubro","MBCL (Residential) - Planning (Tier2)","Project Management","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700001"
"India","Larsen & Toubro","MBCL (Residential) - Civil Execution (Tier2)","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700017"
"India","Larsen & Toubro","Res-West-Planning","Project Management","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1695518"
"India","Larsen & Toubro","MBCL (Residential) - Civil Execution (Tier1)","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700024"
"India","Larsen & Toubro","MBCL (Residential) - Civil Execution (S&E)","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700037"
"India","Larsen & Toubro","MBCL (Residential) - Civil Execution (TC/SP)","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700074"
"India","Larsen & Toubro","MBCL (Residential) - Formwork (Tier1)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700103"
"India","Larsen & Toubro","MBCL (Residential) - Formwork (S&E)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700120"
"India","Larsen & Toubro","MBCL (Residential) - Formwork Execution (TC/SP)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700146"
"India","Larsen & Toubro","MBCL (Residential) - Finishing (TC/SP)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700248"
"India","Larsen & Toubro","MBCL (Residential) - MEP - Electrical (S&E)","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700339"
"India","Larsen & Toubro","MBCL (Residential) - MEP - Electrical (TC/SP)","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700346"
"India","Larsen & Toubro","MBCL (Residential) - Billing (S&E)","Finance & Accounting","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700012"
"India","Larsen & Toubro","MBCL (Residential) - MEP - PHE/FPS (S&E)","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700353"
"India","Larsen & Toubro","MBCL (Residential) - MEP - PHE/FPS (TC/SP)","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700366"
"India","Larsen & Toubro","MBCL (Residential) - EHS (Tier 2)","HSE","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700385"
"India","Larsen & Toubro","MBCL (Residential) - EHS (S&E)","HSE","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700502"
"India","Larsen & Toubro","MBCL (Residential) - QA/QC (Tier 2)","Quality & Inspection","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700516"
"India","Larsen & Toubro","MBCL (Residential) - QA/QC (S&E)","Quality & Inspection","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700551"
"India","Larsen & Toubro","MBCL (Residential) - P&M (Tier 1)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700575"
"India","Larsen & Toubro","MBCL (Residential) - QA/QC (Tier 1)","Quality & Inspection","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700536"
"India","Larsen & Toubro","MBCL (Residential) - P&M (S&E)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700598"
"India","Larsen & Toubro","MBCL (Residential) -FA&A (Tier 1)","Other","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700617"
"India","Larsen & Toubro","MBCL (Residential) - Stores (Tier 1)","Supply Chain & Logistics","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700674"
"India","Larsen & Toubro","MBCL (Residential) - Planning (S&E)","Project Management","AMN Tower, Powai, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1700003"
"India","Larsen & Toubro","Planning","Project Management","Dibrugarh, India","2026-03-17","https://larsentoubrocareers.peoplestrong.com/job/detail/1699204"
"India","Larsen & Toubro","Service Engineer","Other","Kancheepuram, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1700824"
"India","Larsen & Toubro","Service Engineer","Other","Hyderabad, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1700828"
"India","Larsen & Toubro","Service Engineer","Other","Hyderabad, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1700820"
"India","Larsen & Toubro","Service Engineer","Other","Hyderabad, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1700812"
"UAE","Larsen & Toubro","Manager - IR & Admin","Other","Dubai, UAE","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1687638"
"India","Larsen & Toubro","Service Engineer","Other","Kancheepuram, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1700716"
"India","Larsen & Toubro","Service Engineer","Other","Kancheepuram, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1700707"
"India","Larsen & Toubro","Site Engineer","Other","Talegaon, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1453170"
"India","Larsen & Toubro","Service Engineer","Other","Bhubaneswar, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1700065"
"India","Larsen & Toubro","CNC Machine Shop Superviosr","Other","Hazira Mfg Complex, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1693667"
"India","Larsen & Toubro","Asst Manager- Talent Management - F&A","Human Resources","AMN Tower, Powai, India","2026-03-16","https://larsentoubrocareers.peoplestrong.com/job/detail/1694166"
"India","Larsen & Toubro","Assistant Manager-CRM","Other","Mumbai, India","2026-03-14","https://larsentoubrocareers.peoplestrong.com/job/detail/1699905"
"India","Larsen & Toubro","EHS Manager","HSE","Vadodara, India","2026-03-14","https://larsentoubrocareers.peoplestrong.com/job/detail/1684749"
"India","Larsen & Toubro","EHS Manager","HSE","Vadodara, India","2026-03-14","https://larsentoubrocareers.peoplestrong.com/job/detail/1684788"
"India","Larsen & Toubro","TLTRS IN CHARGE","Other","Chennai Head Qrs., India","2026-03-13","https://larsentoubrocareers.peoplestrong.com/job/detail/1619776"
"India","Larsen & Toubro","Fabrication Coordinator","Mechanical & Integrity","AMN Tower, Powai, India","2026-03-12","https://larsentoubrocareers.peoplestrong.com/job/detail/1695832"
"India","Larsen & Toubro","Service Engineer","Other","Bhubaneswar, India","2026-03-12","https://larsentoubrocareers.peoplestrong.com/job/detail/1698192"
"India","Larsen & Toubro","Service Engineer","Other","Durgapur, India","2026-03-12","https://larsentoubrocareers.peoplestrong.com/job/detail/1698229"
"India","Larsen & Toubro","Safety Engineer","HSE","Kancheepuram, India","2026-03-12","https://larsentoubrocareers.peoplestrong.com/job/detail/1698258"
"India","Larsen & Toubro","Quality Control","Electrical & Instrumentation","Hazira Mfg Complex, India","2026-03-12","https://larsentoubrocareers.peoplestrong.com/job/detail/1698214"
"India","Larsen & Toubro","SUPERVISOR-TRAVEL DESK","Other","Chennai Head Qrs., India","2026-03-12","https://larsentoubrocareers.peoplestrong.com/job/detail/1692567"
"India","Larsen & Toubro","Executive - Administration","Other","Hazira Mfg Complex, India","2026-03-12","https://larsentoubrocareers.peoplestrong.com/job/detail/1695977"
"India","Larsen & Toubro","Design Coordinator - UG Structure","Other","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1683860"
"India","Larsen & Toubro","Design Manager","Other","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1683887"
"India","Larsen & Toubro","Central Service Coordinator - Pronto","Other","Chennai, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1687523"
"India","Larsen & Toubro","O&M Site incharge - Mechanical","Mechanical & Integrity","Chennai Head Qrs., India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1692572"
"India","Larsen & Toubro","Non-Revenue Water & Operation Maintenance Engineer","Other","Hubli, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1692355"
"India","Larsen & Toubro","Site Administration - NCR","Other","Gurgaon, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1696947"
"India","Larsen & Toubro","Head - Central IR AMNHEC","Other","Hazira Mfg Complex, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1696907"
"India","Larsen & Toubro","Mechanical Design Engineer","Mechanical & Integrity","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1679107"
"India","Larsen & Toubro","Product Manager -  inverters & Converters","Other","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1678801"
"India","Larsen & Toubro","Product Manager - BESS","Other","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1678715"
"India","Larsen & Toubro","Sr. Mechanical design Engineer","Mechanical & Integrity","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1685957"
"India","Larsen & Toubro","Sr. Electrical design Engineer","Electrical & Instrumentation","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1685934"
"India","Larsen & Toubro","Mechanical design Lead","Mechanical & Integrity","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1685948"
"India","Larsen & Toubro","Lead Electrical Design Engineer","Electrical & Instrumentation","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1685912"
"India","Larsen & Toubro","BD & Sales Manager – Central Inverter and Power Converters (AC-DC and DC-DC)","Business Development","Bengaluru, India","2026-03-11","https://larsentoubrocareers.peoplestrong.com/job/detail/1679990"
"India","Larsen & Toubro","Business Analyst - PMO","Other","Chennai Head Qrs., India","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1694797"
"Saudi Arabia","Larsen & Toubro","NDT Coordinator","Mechanical & Integrity","Damam-I, SA, Saudi Arabia","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1696176"
"Saudi Arabia","Larsen & Toubro","HSE - Lead","HSE","Damam-I, SA, Saudi Arabia","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1696187"
"India","Larsen & Toubro","Supervisor - Assembly, Integration & Testing shop","Construction & Fabrication","Hazira  Gujarat, India","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1675917"
"UAE","Larsen & Toubro","Engineer- MEP (FPS)","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681300"
"UAE","Larsen & Toubro","Engineer- MEP (FPS)","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681308"
"UAE","Larsen & Toubro","Engineer- MEP (FPS)","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681317"
"UAE","Larsen & Toubro","Engineer- MEP (FPS)","Mechanical & Integrity","Abu Dhabi, UAE, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681366"
"UAE","Larsen & Toubro","Engineer - MEP (HVAC)","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681385"
"UAE","Larsen & Toubro","Engineer- MEP (HVAC)","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681401"
"UAE","Larsen & Toubro","Engineer - MEP (HVAC/LSP)","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681415"
"UAE","Larsen & Toubro","Engineer - MEP (HVAC/LSP)","Mechanical & Integrity","Abu Dhabi, UAE, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681419"
"UAE","Larsen & Toubro","Engineer - T&C","Other","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681445"
"UAE","Larsen & Toubro","Engineer - T&C","Other","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681454"
"UAE","Larsen & Toubro","Engineer T&C","Other","Abu Dhabi, UAE, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681463"
"UAE","Larsen & Toubro","Planning Engineer","Project Management","Abu Dhabi, UAE, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681500"
"UAE","Larsen & Toubro","Planning Engineer","Project Management","Abu Dhabi, UAE, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681507"
"UAE","Larsen & Toubro","Site Engineer- Civil","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1681596"
"UAE","Larsen & Toubro","Engineer (Civil) - QA/QC","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1682784"
"UAE","Larsen & Toubro","Engineer (Civil) - QA/QC","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1683153"
"UAE","Larsen & Toubro","Engineer (Civil) - QA/QC","Mechanical & Integrity","Abu Dhabi, UAE, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1683262"
"UAE","Larsen & Toubro","Engineer (Civil) - QA/QC","Mechanical & Integrity","Dubai, UAE","2026-03-10","https://larsentoubrocareers.peoplestrong.com/job/detail/1683507"
