"Country","Company","Title","Category","Location","Date Posted","Link"
"USA","Marathon Petroleum","Environmental Manager","HSE & Environment","7 Locations","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/La-Palma-California/Environmental-Manager_00021451"
"USA","Marathon Petroleum","Senior Platforms Engineer - Infrastructure DevOps","Engineering & Technical","3 Locations","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Findlay-Ohio/Senior-Platforms-Engineer---Infrastructure-DevOps_00021430"
"USA","Marathon Petroleum","Lead Product Owner - CoPilot & Power Platform","Digital & IT","2 Locations","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/San-Antonio-Texas/Lead-Product-Owner---CoPilot---Power-Platform_00021514"
"USA","Marathon Petroleum","Marketing Analyst","Finance & Commercial","Findlay, Ohio","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Findlay-Ohio/Marketing-Analyst_00021508"
"USA","Marathon Petroleum","Refining Personal Safety Manager","HSE & Environment","Carson, California","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Carson-California/Refining-Personal-Safety-Manager_00021487"
"USA","Marathon Petroleum","Sr Supply & Distribution Coordinator (Commercial Blender)","Finance & Commercial","Houston, Texas","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Houston-Texas/Sr-Supply---Distribution-Coordinator--Blending-_00021480"
"USA","Marathon Petroleum","Senior BP&A Analyst - MPL","Finance & Commercial","Findlay, Ohio","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Findlay-Ohio/Senior-BP-A-Analyst---MPL_00021475"
"USA","Marathon Petroleum","Division Controller - Catlettsburg Refinery","Engineering & Technical","Catlettsburg, Kentucky","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Catlettsburg-Kentucky/Division-Controller---Catlettsburg-Refinery_00021472-1"
"USA","Marathon Petroleum","CROF Rail Loader","Operations & Maintenance","Anacortes, Washington","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Anacortes-Washington/CROF-Rail-Loader_00021074"
"USA","Marathon Petroleum","Operations Specialist","Operations & Maintenance","Texas City, Texas","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Texas-City-Texas/Operations-Specialist_00021511"
"USA","Marathon Petroleum","Operations Manager","Operations & Maintenance","Texas City, Texas","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Texas-City-Texas/Operations-Manager_00021505"
"USA","Marathon Petroleum","Reliability Engineer","Engineering & Technical","Texas City, Texas","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Texas-City-Texas/Reliability-Engineer_00021506"
"USA","Marathon Petroleum","Administrative Assistant","Management & Administration","Texas City, Texas","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Texas-City-Texas/Administrative-Assistant_00021507"
"USA","Marathon Petroleum","Transport Driver","Operations & Maintenance","Industry, Pennsylvania","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Industry-Pennsylvania/Transport-Driver_00021500"
"USA","Marathon Petroleum","NG&NGL Field Operator","Operations & Maintenance","Carlsbad, New Mexico","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Carlsbad-New-Mexico/NG-NGL-Field-Operator_00021491"
"USA","Marathon Petroleum","Senior BP&A Analyst","Finance & Commercial","Findlay, Ohio","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Findlay-Ohio/Senior-BP-A-Analyst_00021477"
"USA","Marathon Petroleum","Marine Barge & Fleeting Manager","Supply Chain & Logistics","Catlettsburg, Kentucky","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Catlettsburg-Kentucky/Marine-Barge---Fleeting-Manager_00021485"
"USA","Marathon Petroleum","Chemist","Operations & Maintenance","Catlettsburg, Kentucky","2026-04-10","https://mpc.wd1.myworkdayjobs.com/MPCCareers/job/Catlettsburg-Kentucky/Chemist_00021449"
