"Country","Company","Title","Category","Location","Date Posted","Link"
"USA","Motiva","Electrical Engineer","Operations & Maintenance","Port Arthur, TX","2026-04-10","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Port-Arthur-TX/Electrical-Engineer_4263-2"
"USA","Motiva","Sr. Electrical Specialist","Operations & Maintenance","Port Arthur, TX","2026-04-10","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Port-Arthur-TX/Sr-Electrical-Specialist_4261"
"USA","Motiva","Pump/Rotating Equipment Mechanic","Operations & Maintenance","TX - Chems Port Arthur Plant","2026-04-10","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/TX---Chems-Port-Arthur-Plant/Pump-Rotating-Equipment-Mechanic_4260"
"USA","Motiva","Manager, Financial Analysis – Turnaround","Management & Administration","Port Arthur, TX","2026-04-10","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Port-Arthur-TX/Manager--Financial-Analysis---Turnaround_4259"
"USA","Motiva","Sr. Business Systems Analyst","Finance & Commercial","Houston, TX","2026-04-07","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Houston-TX/Sr-Business-Systems-Analyst_4212"
"USA","Motiva","Principal Strategist - Marketing & Sales","Business Development","Houston, TX","2026-04-03","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Houston-TX/Principal-Strategist---Marketing---Sales_4253"
"USA","Motiva","Tax Accountant","Finance & Commercial","Houston, TX","2026-04-02","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Houston-TX/Tax-Accountant_4238"
"USA","Motiva","Lead Financial Analyst - Planning & Performance","Finance & Commercial","Houston, TX","2026-04-02","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Houston-TX/Lead-Financial-Analyst---Planning---Performance_4249"
"USA","Motiva","Associate Equipment & Reliability Engineer - Production Team Support","Operations & Maintenance","Port Arthur, TX","2026-03-26","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Port-Arthur-TX/Associate-Equipment---Reliability-Engineer---Production-Team-Support_4245"
"USA","Motiva","Sr. Manager, Turnarounds","Management & Administration","Port Arthur, TX","2026-03-26","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Port-Arthur-TX/Sr-Manager--Turnarounds_4218-2"
"USA","Motiva","Engineering Project Manager","Projects & Construction","Port Arthur, TX","2026-04-10","https://motiva.wd1.myworkdayjobs.com/MotivaCareers/job/Port-Arthur-TX/Engineering-Project-Engineer_4196"
