Country,Company,Title,Category,Location,Date Posted,Link
Indonesia,Mubadala Energy,"Senior Specialist, Recruitment",Human Resources,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/93RY457Y
Malaysia,Mubadala Energy,"Officer, Digital Communications",IT & Digital,"Kuala Lumpur, Malaysia",,https://www.careers-page.com/mubadalaenergy/job/5WY46V43
Indonesia,Mubadala Energy,Corporate Social Responsibility Officer,Management & Administration,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/X964WVVR
Indonesia,Mubadala Energy,Senior Logistics Formalities & Customs Specialist,Supply Chain,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/3WR39V8V
Indonesia,Mubadala Energy,Drilling Permits & Formalities Specialist,Drilling & Wells,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/Y633RR99
Indonesia,Mubadala Energy,Senior Drilling Engineer,Drilling & Wells,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/L7RV8W53
Indonesia,Mubadala Energy,Drilling Superintendent,Drilling & Wells,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/RYV6X65R
Indonesia,Mubadala Energy,Junior HSE Engineer,Graduate & Internship,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/7XXRR333
Indonesia,Mubadala Energy,Safety Occupational Health & Industrial Hygiene (SOHIH) Engineer,HSE,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/Y66WW9X9
Malaysia,Mubadala Energy,"HSSE Engineer, Assurance",HSE,"Kuala Lumpur, Malaysia",,https://www.careers-page.com/mubadalaenergy/job/3WW47RRV
Malaysia,Mubadala Energy,Senior Admin Assistant,Management & Administration,"Kuala Lumpur, Malaysia",,https://www.careers-page.com/mubadalaenergy/job/Y663WXRV
Indonesia,Mubadala Energy,"Superintendent, Business Support",Management & Administration,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/9338X354
Indonesia,Mubadala Energy,"Specialist / Senior Officer, Business Process Improvement",Operations & Process,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/RYY9Y85X
Indonesia,Mubadala Energy,"Specialist / Senior Officer, Risk & Assurance",Inspection & Integrity,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/W33837YW
Indonesia,Mubadala Energy,Lead Completion Engineer,Drilling & Wells,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/4RR4R3X5
Malaysia,Mubadala Energy,Process Safety Manager,HSE,"Kuala Lumpur, Malaysia",,https://www.careers-page.com/mubadalaenergy/job/V66YW67R
Malaysia,Mubadala Energy,"Vice President, HSSE, Asset Integrity & ESG Performance",HSE,"Kuala Lumpur, Malaysia",,https://www.careers-page.com/mubadalaenergy/job/8XX38VRV
Indonesia,Mubadala Energy,"Analyst, Reporting",Management & Administration,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/5WWV3YX5
Indonesia,Mubadala Energy,"Specialist, Accounting",Finance & Accounting,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/X99536W3
Malaysia,Mubadala Energy,Lead Development Engineer (Process),Operations & Process,"Kuala Lumpur, Malaysia",,https://www.careers-page.com/mubadalaenergy/job/7XYR3W83
Indonesia,Mubadala Energy,Drilling Completion & Engineering Advisor,Drilling & Wells,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/63W7R755
Indonesia,Mubadala Energy,"Manager, Communications",Management & Administration,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/Y6VY58VV
Indonesia,Mubadala Energy,"Specialist, SCM (Formalities, Customs, & Asset Management)",Supply Chain,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/X95W64RY
Malaysia,Mubadala Energy,Compliance Counsel,Legal & Compliance,"Kuala Lumpur, Malaysia",,https://www.careers-page.com/mubadalaenergy/job/L73V96XX
Indonesia,Mubadala Energy,Technical Liaison,Management & Administration,"Jakarta, Indonesia",,https://www.careers-page.com/mubadalaenergy/job/5WV49X8R
