"Country","Company","Title","Category","Location","Date Posted","Link"
"Malaysia","Mubadala Energy","Commercial Manager","Sales & Commercial","Kuala Lumpur, Malaysia","","https://www.careers-page.com/mubadalaenergy/job/W36V3RXW"
"Malaysia","Mubadala Energy","IT Officer, Network & Security (Specialist role)","Engineering & Technical","Kuala Lumpur, Malaysia","","https://www.careers-page.com/mubadalaenergy/job/4RVWRYX5"
"Malaysia","Mubadala Energy","Officer, Digital Communications","IT & Digital","Kuala Lumpur, Malaysia","","https://www.careers-page.com/mubadalaenergy/job/5WY46V43"
"Malaysia","Mubadala Energy","Internship- Communications","Internship","Kuala Lumpur, Malaysia","","https://www.careers-page.com/mubadalaenergy/job/V637YY3R"
"Indonesia","Mubadala Energy","Lead Environmental & ESG Engineer","Engineering & Technical","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/W3689459"
"Indonesia","Mubadala Energy","Corporate Social Responsibility Officer","Other","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/X964WVVR"
"Indonesia","Mubadala Energy","Senior Logistics Formalities & Customs Specialist","Engineering & Technical","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/3WR39V8V"
"Indonesia","Mubadala Energy","Drilling Permits & Formalities Specialist","Drilling & Completion","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/Y633RR99"
"Indonesia","Mubadala Energy","Senior Drilling Engineer","Drilling & Completion","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/L7RV8W53"
"Indonesia","Mubadala Energy","Well Testing Engineer","Engineering & Technical","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/W36XRX7W"
"Indonesia","Mubadala Energy","Drilling Superintendent","Drilling & Completion","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/RYV6X65R"
"Indonesia","Mubadala Energy","Junior HSE Engineer","Engineering & Technical","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/7XXRR333"
"Indonesia","Mubadala Energy","Safety Occupational Health & Industrial Hygiene (SOHIH) Engineer","Engineering & Technical","Jakarta, Indonesia","","https://www.careers-page.com/mubadalaenergy/job/Y66WW9X9"
