"Country","Company","Title","Category","Location","Date Posted","Link"
"United Arab Emirates","NMDC","Senior Accountant","Finance & Accounting","Abu Dhabi, United Arab Emirates","2026-04-02","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1177"
"United Arab Emirates","NMDC","Lead Project Engineer","Project Management","Abu Dhabi, United Arab Emirates","2026-04-02","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1223"
"United Arab Emirates","NMDC","Procurement Officer","Contracts & Procurement","Abu Dhabi, United Arab Emirates","2026-03-31","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1404"
"United Arab Emirates","NMDC","Mechanic Foreman","Mechanical & Structural","United Arab Emirates","2026-03-31","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1508"
"United Arab Emirates","NMDC","Jr Buyer","Contracts & Procurement","Abu Dhabi, United Arab Emirates","2026-04-02","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1551"
"United Arab Emirates","NMDC","Technical Erp System Analyst","IT & Digital","United Arab Emirates","2026-04-02","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1746"
"United Arab Emirates","NMDC","Sr Field Engineer","Project Management","United Arab Emirates","2026-04-01","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1865"
"United Arab Emirates","NMDC","Sr Yard Engineer","Project Management","United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2105"
"United Arab Emirates","NMDC","Senior Ethics & Compliance Officer","Legal & Compliance","United Arab Emirates","2026-04-02","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2220"
"United Arab Emirates","NMDC","Offshore Material Coordinator","Contracts & Procurement","United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2290"
"United Arab Emirates","NMDC","Geotechnical Design Engineer","Geoscience & Reservoir","Abu Dhabi, United Arab Emirates","2026-04-02","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2439"
"United Arab Emirates","NMDC","Geotechnical Design Engineer","Geoscience & Reservoir","Abu Dhabi, United Arab Emirates","2026-04-02","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2440"
"United Arab Emirates","NMDC","Tug Master","Marine & Offshore","United Arab Emirates","2026-03-31","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2490"
"United Arab Emirates","NMDC","Hse Officer","HSE & Quality","United Arab Emirates","2026-03-31","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2500"
"United Arab Emirates","NMDC","Hopper Captain","Marine & Offshore","United Arab Emirates","2026-04-01","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2625"
"United Arab Emirates","NMDC","2Nd Officer","Marine & Offshore","United Arab Emirates","2026-04-01","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2627"
"United Arab Emirates","NMDC","Pipe Operator","Drilling & Well","United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2628"
"United Arab Emirates","NMDC","3Rd W/K Engineer","Engineering","United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2633"
"United Arab Emirates","NMDC","1St W/K Electrical Engineer","Electrical","United Arab Emirates","2026-03-31","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2641"
"United Arab Emirates","NMDC","Contracts Engineer","Contracts & Procurement","Abu Dhabi, United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2645"
"United Arab Emirates","NMDC","Sr Contracts Engineer","Contracts & Procurement","Abu Dhabi, United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2646"
"United Arab Emirates","NMDC","Quantity Surveyor","Geoscience & Reservoir","Abu Dhabi, United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2647"
"United Arab Emirates","NMDC","Field Engineer","Project Management","United Arab Emirates","2026-04-02","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2659"
"United Arab Emirates","NMDC","Able Seaman","Marine & Offshore","United Arab Emirates","2026-04-01","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2664"
"United Arab Emirates","NMDC","Sr Strategy Manager","Management","Abu Dhabi, United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2669"
"United Arab Emirates","NMDC","Quality Team Leader","Project Management","United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2678"
"United Arab Emirates","NMDC","Hse Officer","HSE & Quality","United Arab Emirates","2026-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2681"
"United Arab Emirates","NMDC","Finance Manager","Finance & Accounting","United Arab Emirates","2026-04-01","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2693"
"United Arab Emirates","NMDC","Multicat Skipper - Cat B","Marine & Offshore","Abu Dhabi, United Arab Emirates","2026-03-29","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1495"
"United Arab Emirates","NMDC","Legal Advisor","Legal & Compliance","Abu Dhabi, United Arab Emirates","2026-03-30","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1789"
"United Arab Emirates","NMDC","Senior Erp System Analyst","IT & Digital","Abu Dhabi, United Arab Emirates","2026-03-30","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1863"
"United Arab Emirates","NMDC","Greaser / Oiler","Engineering","Abu Dhabi, United Arab Emirates","2026-03-27","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2202"
"United Arab Emirates","NMDC","Sr Business Analyst","IT & Digital","United Arab Emirates","2026-03-30","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2556"
"United Arab Emirates","NMDC","Sr Draftsman","Mechanical & Structural","Abu Dhabi, United Arab Emirates","2026-03-30","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2623"
"United Arab Emirates","NMDC","Qc Inspector","Project Management","Abu Dhabi, United Arab Emirates","2026-03-26","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1115"
"United Arab Emirates","NMDC","Qc Inspector","Project Management","Abu Dhabi, United Arab Emirates","2026-03-26","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1116"
"United Arab Emirates","NMDC","Designer","Mechanical & Structural","Abu Dhabi, United Arab Emirates","2026-03-25","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2128"
"United Arab Emirates","NMDC","Erp System Analyst","IT & Digital","Abu Dhabi, United Arab Emirates","2026-03-24","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2187"
"United Arab Emirates","NMDC","Erp System Analyst","IT & Digital","Abu Dhabi, United Arab Emirates","2026-03-24","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2188"
"United Arab Emirates","NMDC","Erp System Analyst","IT & Digital","Abu Dhabi, United Arab Emirates","2026-03-24","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2189"
"United Arab Emirates","NMDC","Sr Qc Inspector","Project Management","Abu Dhabi, United Arab Emirates","2026-03-26","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2275"
"United Arab Emirates","NMDC","Designer","Mechanical & Structural","Abu Dhabi, United Arab Emirates","2026-03-25","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2624"
"United Arab Emirates","NMDC","2Nd W/K Electrical Engineer","Electrical","United Arab Emirates","2026-03-26","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2642"
"United Arab Emirates","NMDC","Tug Chief Officer","Marine & Offshore","Abu Dhabi, United Arab Emirates","2025-04-03","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1021"
"United Arab Emirates","NMDC","Crane Operator","Operations & Maintenance","United Arab Emirates","2025-09-19","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1070"
"United Arab Emirates","NMDC","Senior Erp System Analyst","IT & Digital","United Arab Emirates","2025-10-06","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1143"
"United Arab Emirates","NMDC","Accountant","Finance & Accounting","Abu Dhabi, United Arab Emirates","2025-06-20","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1258"
"United Arab Emirates","NMDC","Senior Erp System Analyst","IT & Digital","United Arab Emirates","2025-10-06","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1402"
"United Arab Emirates","NMDC","2Nd W/K Electrical Engineer","Electrical","United Arab Emirates","2026-03-06","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1535"
"United Arab Emirates","NMDC","Engineer - Quality","Project Management","Abu Dhabi, United Arab Emirates","2025-08-26","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1589"
"United Arab Emirates","NMDC","Foreman - Mason","Mechanical & Structural","Abu Dhabi, United Arab Emirates","2025-08-26","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1591"
"United Arab Emirates","NMDC","Launch Driver","Marine & Offshore","Abu Dhabi, United Arab Emirates","2026-03-09","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1629"
"United Arab Emirates","NMDC","Technical Erp System Analyst","IT & Digital","United Arab Emirates","2025-09-30","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1747"
"United Arab Emirates","NMDC","Able Seaman","Marine & Offshore","Abu Dhabi, United Arab Emirates","2025-12-10","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1811"
"United Arab Emirates","NMDC","Crane Operator","Operations & Maintenance","United Arab Emirates","2026-02-16","https://fa-evft-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1859"
