"Country","Company","Title","Category","Location","Date Posted","Link"
"Algeria","Occidental","Geology Intern","Internship / Graduate","Hassi Messaoud, Algeria","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Hassi-Messaoud-Algeria/Geology-Intern_JR106883-1"
"Algeria","Occidental","Geophysics Intern (Algeria)","Internship / Graduate","Hassi Messaoud, Algeria","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Hassi-Messaoud-Algeria/Geophysics-Intern--Algeria-_JR106882"
"Algeria","Occidental","Reservoir / Production Intern","Internship / Graduate","Algeria","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Hassi-Messaoud-Algeria/Reservoir---Production-Intern_JR106881"
"Algeria","Occidental","Supply Chain Intern","Internship / Graduate","Hassi Messaoud, Algeria","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Hassi-Messaoud-Algeria/Supply-Chain-Intern_JR107679"
"Algeria","Occidental","Engineering Intern","Internship / Graduate","Algeria","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Hassi-Berkine-Algeria/Engineering-Intern_JR106867"
"Algeria","Occidental","Greenhouse Gas / Environmental Engineering Intern","Internship / Graduate","Hassi Messaoud, Algeria","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Hassi-Messaoud-Algeria/Greenhouse-Gas---Environmental-Engineering-Intern_JR106864"
"Algeria","Occidental","HSE Internship","Internship / Graduate","Hassi Messaoud, Algeria","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Hassi-Messaoud-Algeria/HSE-Internship_JR106863"
"Algeria","Occidental","Post Graduate Reservoir Engineer Intern","Internship / Graduate","HMDALG","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/HMDALG/Post-Graduate-Reservoir-Engineer-Intern_JR107689"
"Algeria","Occidental","Post-Graduate Drilling Intern","Internship / Graduate","Hassi Messaoud, Algeria","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Hassi-Messaoud-Algeria/Post-Graduate-Drilling-Intern_JR107686"
"USA","Occidental","HSE Advisor Sr","Health, Safety & Environment","Ector County","2026-03-27","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Ector-County/HSE-Advisor-Sr_JR107718"
"USA","Occidental","Drill Site Manager","Management","Platteville, Colorado","2026-03-26","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Platteville-Colorado/Drill-Site-Manager_JR107740"
"Algeria","Occidental","Post-Graduate Finance Intern","Internship / Graduate","Algiers, Algeria","2026-03-26","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Algiers-Algeria/Post-Graduate-Finance-Intern_JR107690"
"Algeria","Occidental","Legal Postgrad Intern","Internship / Graduate","Algiers, Algeria","2026-03-26","https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/Algiers-Algeria/Legal-Postgrad-Intern_JR106899"
