Country,Company,Title,Category,Location,Date Posted,Link
Ghana,Petrofac,Marine Control Room Operator,Operations & Process,"Accra, Ghana",,https://petrofac.referrals.selectminds.com/jobs/marine-control-room-operator-11665
Ghana,Petrofac,FPSO Pumpman,Management & Administration,"Accra, Ghana",,https://petrofac.referrals.selectminds.com/jobs/fpso-pumpman-11664
India,Petrofac,Senior Advisor - Human Resources,Human Resources,"Chennai, India",,https://petrofac.referrals.selectminds.com/jobs/senior-advisor-human-resources-11663
India,Petrofac,Advisor I - Human Resources,Human Resources,"Mumbai, India",,https://petrofac.referrals.selectminds.com/jobs/advisor-i-human-resources-11659
India,Petrofac,Tax Accountant,Finance & Accounting,"Chennai, India",,https://petrofac.referrals.selectminds.com/jobs/tax-accountant-11656
Malaysia,Petrofac,Senior Electrical Engineer,Electrical & Instrumentation,"Kuala Lumpur, Malaysia",,https://petrofac.referrals.selectminds.com/jobs/senior-electrical-engineer-11625
Equatorial Guinea,Petrofac,Operational Technology & Cyber Security Engineer,Operations & Process,"Malabo, Equatorial Guinea",,https://petrofac.referrals.selectminds.com/jobs/operational-technology-cyber-security-engineer-11615
UK,Petrofac,Senior Contracts Engineer,Legal & Compliance,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/senior-contracts-engineer-11682
UK,Petrofac,Rotating Equipment Engineer,Mechanical & Structural,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/rotating-equipment-engineer-11681
UK,Petrofac,Receptionist/Administrator,Management & Administration,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/receptionist-administrator-11680
UK,Petrofac,Senior Cost Engineer,Finance & Accounting,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/senior-cost-engineer-11679
UK,Petrofac,Lead Process Engineer,Operations & Process,"Great Yarmouth, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/lead-process-engineer-11678
UAE,Petrofac,Senior Engineer - Projects,Management & Administration,"Sharjah, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/senior-engineer-projects-11675
UAE,Petrofac,Senior Engineer - Projects,Management & Administration,"Sharjah, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/senior-engineer-projects-11677
UAE,Petrofac,Senior Engineer - Projects,Management & Administration,"Sharjah, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/senior-engineer-projects-11676
UAE,Petrofac,Senior Engineer - Projects,Management & Administration,"Sharjah, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/senior-engineer-projects-11674
Algeria,Petrofac,Senior Engineer - Commissioning,Operations & Process,"Tinhert, Algeria",,https://petrofac.referrals.selectminds.com/jobs/senior-engineer-commissioning-11673
India,Petrofac,Officer I - Logistics,Supply Chain,"Mumbai, India",,https://petrofac.referrals.selectminds.com/jobs/officer-i-logistics-11672
UAE,Petrofac,Manager - Expediting,Supply Chain,"Sharjah, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/manager-expediting-11671
UAE,Petrofac,Senior Drilling Engineer,Drilling & Wells,"Sharjah, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/senior-drilling-engineer-11670
Equatorial Guinea,Petrofac,Senior Electrical & Instrumentation Engineer,Electrical & Instrumentation,"Malabo, Equatorial Guinea",,https://petrofac.referrals.selectminds.com/jobs/senior-electrical-instrumentation-engineer-11669
UK,Petrofac,Subsea Project Planner,Management & Administration,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/subsea-project-planner-11668
UK,Petrofac,Principal Structural Designer,Mechanical & Structural,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/principal-structural-designer-11667
UK,Petrofac,Cost Engineer,Finance & Accounting,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/cost-engineer-11666
UAE,Petrofac,Engineer II - Commissioning,Operations & Process,"Abu Dhabi, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/engineer-ii-commissioning-11660
UAE,Petrofac,Senior Drilling Engineer,Drilling & Wells,"Abu Dhabi, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/senior-drilling-engineer-11655
UAE,Petrofac,Senior Petroleum Engineer,Geoscience & Reservoir,"Abu Dhabi, United Arab Emirates",,https://petrofac.referrals.selectminds.com/jobs/senior-petroleum-engineer-11654
UK,Petrofac,HSE Advisor,HSE,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/hse-advisor-11653
UK,Petrofac,Senior Technical Safety Engineer,HSE,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/senior-technical-safety-engineer-11652
UK,Petrofac,Principal Technical Safety Engineer,HSE,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/principal-technical-safety-engineer-11651
UK,Petrofac,Subcontracts Manager,Legal & Compliance,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/subcontracts-manager-11650
UK,Petrofac,Senior HSE Advisor,HSE,"Aberdeen, United Kingdom",,https://petrofac.referrals.selectminds.com/jobs/senior-hse-advisor-11649
