"Country","Company","Title","Category","Location","Date Posted","Link"
"Malaysia","Petronas","Executive (Business Development)","Management & Administration","Kuala Lumpur, Malaysia","2026-03-30","https://careers.petronas.com/en/sites/CX_1/job/27292/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor, (Electrical & Electronics Engineering)","Academic","Perak, Malaysia","2026-03-25","https://careers.petronas.com/en/sites/CX_1/job/26570/?mode=location"
"Malaysia","Petronas","Senior Executive (Mechanical Eng.)","Engineering","Perak, Malaysia","2026-03-25","https://careers.petronas.com/en/sites/CX_1/job/27387/?mode=location"
"Malaysia","Petronas","Executive (Special Project)","Management & Administration","Putrajaya, Malaysia","2026-03-11","https://careers.petronas.com/en/sites/CX_1/job/27197/?mode=location"
"Malaysia","Petronas","Executive (Mechanical)","Engineering","Kuala Lumpur, Malaysia","2026-03-09","https://careers.petronas.com/en/sites/CX_1/job/27045/?mode=location"
"Malaysia","Petronas","Executive (KLCCP Stapled Financial Accounting)","Finance & Accounting","Kuala Lumpur, Malaysia","2026-02-11","https://careers.petronas.com/en/sites/CX_1/job/26734/?mode=location"
"Malaysia","Petronas","Executive (Asset & Insurance)","Commercial","Kuala Lumpur, Malaysia","2026-02-10","https://careers.petronas.com/en/sites/CX_1/job/26716/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor (Management)","Academic","Perak, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/24017/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor (Petroleum Engineering)","Academic","Perak, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/24019/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor (Chemical Engineering)","Academic","Perak, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/24020/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor (Geoscience)","Academic","Perak, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/24073/?mode=location"
"Malaysia","Petronas","Executive (Management Account & Budgeting)","Finance & Accounting","Kuala Lumpur, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/26261/?mode=location"
"Malaysia","Petronas","Chargeman (HV)","Management & Administration","Putrajaya, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/26505/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor, (Mechanical Engineering)","Academic","Perak, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/26568/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor, (Integrated Engineering)","Academic","Perak, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/26569/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor (Civil & Environmental Engineering)","Academic","Perak, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/26566/?mode=location"
"Malaysia","Petronas","Executive (PjH Payable Management)","Finance & Accounting","Putrajaya, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/26575/?mode=location"
"Malaysia","Petronas","Executive (System)","IT & Digital","Kuala Lumpur, Malaysia","2026-01-29","https://careers.petronas.com/en/sites/CX_1/job/26582/?mode=location"
"Malaysia","Petronas","Executive (Talent Acquisition & Progression)","Human Resources","Kuala Lumpur, Malaysia","2026-01-26","https://careers.petronas.com/en/sites/CX_1/job/25268/?mode=location"
"Malaysia","Petronas","Executive (Quantity Surveyor)","IT & Digital","Putrajaya, Malaysia","2026-01-20","https://careers.petronas.com/en/sites/CX_1/job/26393/?mode=location"
"Malaysia","Petronas","Executive (APM (Finance))","Finance & Accounting","Kuala Lumpur, Malaysia","2026-01-20","https://careers.petronas.com/en/sites/CX_1/job/26399/?mode=location"
"Malaysia","Petronas","Head (Sg Besi & Vacant Lands)","Management & Administration","Kuala Lumpur, Malaysia","2026-01-15","https://careers.petronas.com/en/sites/CX_1/job/26259/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor (Computing)","Academic","Perak, Malaysia","2026-01-07","https://careers.petronas.com/en/sites/CX_1/job/24011/?mode=location"
"Malaysia","Petronas","Lecturer/Senior Lecturer/Associate Professor/Professor (Applied Science)","Academic","Perak, Malaysia","2026-01-07","https://careers.petronas.com/en/sites/CX_1/job/24016/?mode=location"
"Malaysia","Petronas","Executive (Retail Design)","Commercial","Malaysia","2025-12-22","https://careers.petronas.com/en/sites/CX_1/job/24937/?mode=location"
