"Country","Company","Title","Category","Location","Date Posted","Link"
"Qatar","QatarEnergy LNG","Senior Project Accounting Accountant-NFP","Finance & Accounting","Doha","2026-04-07","https://careers.qatarenergylng.qa/job/Doha-Senior-Project-Accounting-Accountant-NFP/1364939033/"
"Qatar","QatarEnergy LNG","Senior Telecom Engineer","Engineering & Technical","Doha","2026-04-07","https://careers.qatarenergylng.qa/job/Doha-Senior-Telecom-Engineer/1381161833/"
"Qatar","QatarEnergy LNG","Lab Technician","Engineering & Technical","Ras Laffan 2 South","2026-04-06","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Lab-Technician/1380902733/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities - Computer Majors","General","Doha","2026-04-01","https://careers.qatarenergylng.qa/job/Doha-Fresh-Qatari-Graduate-Opportunities-Computer-Majors/1286965301/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities - Business & Finance Majors","Finance & Accounting","Doha","2026-04-01","https://careers.qatarenergylng.qa/job/Doha-Fresh-Qatari-Graduate-Opportunities-Business-&-Finance-Majors/1286965201/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities - Mechanical Engineering","Engineering & Technical","Ras Laffan 2 South","2026-04-01","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Fresh-Qatari-Graduate-Opportunities-Mechanical-Engineering/1286964901/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities - Chemical Engineering","Engineering & Technical","Ras Laffan 2 South","2026-04-01","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Fresh-Qatari-Graduate-Opportunities-Chemical-Engineering/1286964801/"
"Qatar","QatarEnergy LNG","Senior Process Engineer","Engineering & Technical","Ras Laffan 2 South","2026-04-01","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Senior-Process-Engineer/1284599201/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities - Electrical Engineering","Engineering & Technical","Ras Laffan 2 South","2026-04-01","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Fresh-Qatari-Graduate-Opportunities-Electrical-Engineering/1286965001/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities - Petroleum Engineering","Engineering & Technical","Doha","2026-04-01","https://careers.qatarenergylng.qa/job/Doha-Fresh-Qatari-Graduate-Opportunities-Petroleum-Engineering/1286965101/"
"Qatar","QatarEnergy LNG","Lead of IT Center of Excellence (PMO)","Digital & IT","Doha","2026-03-23","https://careers.qatarenergylng.qa/job/Doha-Lead-of-IT-Center-of-Excellence-%28PMO%29/1133910201/"
