"Country","Company","Title","Category","Location","Date Posted","Link"
"Qatar","QatarEnergy","Sr. Chemist (Onshore)","Management & Administration","Dukhan, Qatar","2026-04-02","https://careerportal.qatarenergy.qa/jobs/5329"
"Qatar","QatarEnergy","Construction Supervisor (Remote)","Management & Administration","Doha, Qatar","2026-04-02","https://careerportal.qatarenergy.qa/jobs/5385"
"Qatar","QatarEnergy","Operator (Rfcc)","Operations & Process","Mesaieed, Qatar","2026-04-01","https://careerportal.qatarenergy.qa/jobs/5382"
"Qatar","QatarEnergy","Planning Engineer","Management & Administration","Doha, Qatar","2026-03-30","https://careerportal.qatarenergy.qa/jobs/5316"
"Qatar","QatarEnergy","Dentist - Endodontist (Arabic Speaker)","Management & Administration","Doha, Qatar","2026-03-29","https://careerportal.qatarenergy.qa/jobs/5378"
"Qatar","QatarEnergy","Station Officer","HSE","Ras Laffan, Qatar","2026-03-09","https://careerportal.qatarenergy.qa/jobs/3510"
"Qatar","QatarEnergy","Sub-Officer","HSE","Offshore, Qatar","2026-03-09","https://careerportal.qatarenergy.qa/jobs/3104"
"Qatar","QatarEnergy","Sub-Officer","HSE","Dukhan, Qatar","2026-03-09","https://careerportal.qatarenergy.qa/jobs/5373"
"Qatar","QatarEnergy","Fireman","HSE","Dukhan, Qatar","2026-03-08","https://careerportal.qatarenergy.qa/jobs/5370"
"Qatar","QatarEnergy","Sub-Officer","HSE","Dukhan, Qatar","2026-03-08","https://careerportal.qatarenergy.qa/jobs/5371"
"Qatar","QatarEnergy","Project Interface Coordinator","Management & Administration","Ras Laffan, Qatar","2026-03-03","https://careerportal.qatarenergy.qa/jobs/4937"
"Qatar","QatarEnergy","Port Expansion Coordinator (Marine Ops)","Management & Administration","Ras Laffan, Qatar","2026-03-03","https://careerportal.qatarenergy.qa/jobs/4653"
"Qatar","QatarEnergy","Sr. Planning Analyst","Management & Administration","Doha, Qatar","2026-02-26","https://careerportal.qatarenergy.qa/jobs/3399"
"Qatar","QatarEnergy","Sr. Civil/Structural Engineer (Onshore)","Mechanical & Structural","Doha, Qatar","2026-02-26","https://careerportal.qatarenergy.qa/jobs/5161"
"Qatar","QatarEnergy","Gen. Operator II (Refining Tank Farm)","Operations & Process","Mesaieed, Qatar","2026-02-25","https://careerportal.qatarenergy.qa/jobs/3779"
"Qatar","QatarEnergy","Operator (Refining Tank Farm)","Operations & Process","Mesaieed, Qatar","2026-02-25","https://careerportal.qatarenergy.qa/jobs/3780"
"Qatar","QatarEnergy","Operator (Refining Tank Farm)","Operations & Process","Mesaieed, Qatar","2026-02-25","https://careerportal.qatarenergy.qa/jobs/3787"
"Qatar","QatarEnergy","Operations Supervisor (Ngl3 & Gsf)","Operations & Process","Mesaieed, Qatar","2026-02-24","https://careerportal.qatarenergy.qa/jobs/5225"
"Qatar","QatarEnergy","Admin Assistant I","Management & Administration","Dukhan, Qatar","2026-02-24","https://careerportal.qatarenergy.qa/jobs/5269"
"Qatar","QatarEnergy","Sr. Construction Supervisor","Management & Administration","Doha, Qatar","2026-02-24","https://careerportal.qatarenergy.qa/jobs/4479"
"Qatar","QatarEnergy","Sr. Welding & Fabrication Technician","Operations & Process","Mesaieed, Qatar","2026-02-23","https://careerportal.qatarenergy.qa/jobs/5317"
"Qatar","QatarEnergy","Instrument Maint. Engineer","Electrical & Instrumentation","Mesaieed, Qatar","2026-02-23","https://careerportal.qatarenergy.qa/jobs/5326"
"Qatar","QatarEnergy","Mechanical Maint. Engineer","Mechanical & Structural","Mesaieed, Qatar","2026-02-23","https://careerportal.qatarenergy.qa/jobs/3901"
"Qatar","QatarEnergy","Electrical Maint. Engineer","Electrical & Instrumentation","Mesaieed, Qatar","2026-02-23","https://careerportal.qatarenergy.qa/jobs/5327"
"Qatar","QatarEnergy","Sr. Radiation Safety Officer","HSE","Doha, Qatar","2026-02-23","https://careerportal.qatarenergy.qa/jobs/4383"
"Qatar","QatarEnergy","Construction Supervisor","Management & Administration","Offshore, Qatar","2026-02-22","https://careerportal.qatarenergy.qa/jobs/5333"
"Qatar","QatarEnergy","Operator (Ps02)","Operations & Process","Offshore, Qatar","2026-02-19","https://careerportal.qatarenergy.qa/jobs/5293"
"Qatar","QatarEnergy","Operations Engineer","Operations & Process","Doha, Qatar","2026-02-18","https://careerportal.qatarenergy.qa/jobs/5292"
"Qatar","QatarEnergy","Sr. Operator (Arab D)","Operations & Process","Dukhan, Qatar","2026-02-18","https://careerportal.qatarenergy.qa/jobs/5248"
"Qatar","QatarEnergy","Workforce Planning Analyst (Operations)","Management & Administration","Doha, Qatar","2026-02-18","https://careerportal.qatarenergy.qa/jobs/5302"
"Qatar","QatarEnergy","Sr. Technical Assistant","Management & Administration","Mesaieed, Qatar","2026-02-18","https://careerportal.qatarenergy.qa/jobs/4818"
"Qatar","QatarEnergy","Sr. Project Engineer","Management & Administration","Doha, Qatar","2026-02-18","https://careerportal.qatarenergy.qa/jobs/5181"
"Qatar","QatarEnergy","Sr. Safety Officer (Contracts)","HSE","Doha, Qatar","2026-02-16","https://careerportal.qatarenergy.qa/jobs/3540"
"Qatar","QatarEnergy","Head, Project Controls & Services","Electrical & Instrumentation","Doha, Qatar","2026-02-16","https://careerportal.qatarenergy.qa/jobs/4160"
"Qatar","QatarEnergy","Manager, Ras Laffan Port","Management & Administration","Ras Laffan, Qatar","2026-02-16","https://careerportal.qatarenergy.qa/jobs/5322"
"Qatar","QatarEnergy","Construction Supervisor (Ps1)","Management & Administration","Offshore, Qatar","2026-02-16","https://careerportal.qatarenergy.qa/jobs/4911"
"Qatar","QatarEnergy","Sr. Technical Assistant","Management & Administration","Mesaieed, Qatar","2026-02-15","https://careerportal.qatarenergy.qa/jobs/5285"
"Qatar","QatarEnergy","Project Manager (Facility F)","Management & Administration","Doha, Qatar","2026-02-15","https://careerportal.qatarenergy.qa/jobs/5175"
"Qatar","QatarEnergy","Processes & Systems Analyst","Management & Administration","Doha, Qatar","2026-02-15","https://careerportal.qatarenergy.qa/jobs/3708"
"Qatar","QatarEnergy","Safety Officer (Chemical Plant)","HSE","Mesaieed, Qatar","2026-02-12","https://careerportal.qatarenergy.qa/jobs/4923"
"Qatar","QatarEnergy","Sr. Occupational Hygiene Technician","HSE","Mesaieed, Qatar","2026-02-12","https://careerportal.qatarenergy.qa/jobs/4868"
"Qatar","QatarEnergy","Operations Supervisor (Trans & Dist)","Operations & Process","Mesaieed, Qatar","2026-02-12","https://careerportal.qatarenergy.qa/jobs/5283"
"Qatar","QatarEnergy","Sr. Systems Engineer (Application Devt)","IT & Digital","Doha, Qatar","2026-02-12","https://careerportal.qatarenergy.qa/jobs/4645"
"Qatar","QatarEnergy","Admin Assistant I","Management & Administration","Dukhan, Qatar","2026-02-12","https://careerportal.qatarenergy.qa/jobs/5315"
"Qatar","QatarEnergy","Head, Port Expansion Project","Management & Administration","Ras Laffan, Qatar","2026-02-12","https://careerportal.qatarenergy.qa/jobs/4938"
"Qatar","QatarEnergy","Head, Contracts","Legal & Compliance","Doha, Qatar","2026-02-11","https://careerportal.qatarenergy.qa/jobs/4409"
"Qatar","QatarEnergy","Sr. Systems Engineer (Trading Systems)","IT & Digital","Doha, Qatar","2026-02-09","https://careerportal.qatarenergy.qa/jobs/4643"
"Qatar","QatarEnergy","Systems Engineer","IT & Digital","Doha, Qatar","2026-02-09","https://careerportal.qatarenergy.qa/jobs/5305"
"Qatar","QatarEnergy","Sr. Counsel (Exploration & Production)","Operations & Process","Doha, Qatar","2026-02-09","https://careerportal.qatarenergy.qa/jobs/5123"
"Qatar","QatarEnergy","Lead Designer","Management & Administration","Doha, Qatar","2026-02-04","https://careerportal.qatarenergy.qa/jobs/3162"
"Qatar","QatarEnergy","Head, Engineering Technical Services","Management & Administration","Doha, Qatar","2026-02-04","https://careerportal.qatarenergy.qa/jobs/4159"
"Qatar","QatarEnergy","Sr. Drilling Supervisor","Drilling & Wells","Offshore, Qatar","2026-02-02","https://careerportal.qatarenergy.qa/jobs/4005"
"Qatar","QatarEnergy","Advisor, Maintenance Excellence","Mechanical & Structural","Dukhan, Qatar","2026-01-29","https://careerportal.qatarenergy.qa/jobs/5291"
"Qatar","QatarEnergy","Civil Structural Engineering Lead","Mechanical & Structural","Doha, Qatar","2026-01-28","https://careerportal.qatarenergy.qa/jobs/5195"
"Qatar","QatarEnergy","Sr. Environmental Engineer","HSE","Doha, Qatar","2026-01-28","https://careerportal.qatarenergy.qa/jobs/5194"
"Qatar","QatarEnergy","Asst. Manager, Project Engineering","Management & Administration","Doha, Qatar","2026-01-27","https://careerportal.qatarenergy.qa/jobs/5179"
"Qatar","QatarEnergy","Asst. Manager, Instrumentation Engg","Electrical & Instrumentation","Doha, Qatar","2026-01-27","https://careerportal.qatarenergy.qa/jobs/5251"
"Qatar","QatarEnergy","Sr. Mechanical Engineer (R/E)","Mechanical & Structural","Doha, Qatar","2026-01-25","https://careerportal.qatarenergy.qa/jobs/3249"
"Qatar","QatarEnergy","Head, Construction","Management & Administration","Doha, Qatar","2026-01-25","https://careerportal.qatarenergy.qa/jobs/4475"
"Qatar","QatarEnergy","Principal Electrical Engineer","Electrical & Instrumentation","Doha, Qatar","2026-01-25","https://careerportal.qatarenergy.qa/jobs/4640"
"Qatar","QatarEnergy","Technical Coordinator","Management & Administration","Doha, Qatar","2026-01-22","https://careerportal.qatarenergy.qa/jobs/4388"
"Qatar","QatarEnergy","Marine Pilot","Management & Administration","Mesaieed, Qatar","2026-01-21","https://careerportal.qatarenergy.qa/jobs/4918"
"Qatar","QatarEnergy","Sr. Drilling Supervisor","Drilling & Wells","Dukhan, Qatar","2026-01-21","https://careerportal.qatarenergy.qa/jobs/5290"
"Qatar","QatarEnergy","Sr. Construction Supervisor","Management & Administration","Doha, Qatar","2026-01-21","https://careerportal.qatarenergy.qa/jobs/4482"
"Qatar","QatarEnergy","Sr. Qa/Qc Engineer","Inspection & Integrity","Doha, Qatar","2026-01-20","https://careerportal.qatarenergy.qa/jobs/4486"
"Qatar","QatarEnergy","Sr. Cyber Security Incident Responder","IT & Digital","Doha, Qatar","2026-01-19","https://careerportal.qatarenergy.qa/jobs/3514"
"Qatar","QatarEnergy","Sr. Mechanical Engineer (Build Serv)","Mechanical & Structural","Doha, Qatar","2026-01-19","https://careerportal.qatarenergy.qa/jobs/3799"
"Qatar","QatarEnergy","Qa Engineer","Inspection & Integrity","Doha, Qatar","2026-01-19","https://careerportal.qatarenergy.qa/jobs/4510"
"Qatar","QatarEnergy","Leading Fireman","HSE","Ras Laffan, Qatar","2026-01-15","https://careerportal.qatarenergy.qa/jobs/4869"
"Qatar","QatarEnergy","Sub-Officer","HSE","Ras Laffan, Qatar","2026-01-15","https://careerportal.qatarenergy.qa/jobs/4873"
"Qatar","QatarEnergy","Technician Certificate Program - Expatriates Born In Qatar","Graduate & Internship","Doha, Qatar","2026-01-14","https://careerportal.qatarenergy.qa/jobs/5289"
"Qatar","QatarEnergy","Technician Certificate Program - Children Of Qatari Female","Graduate & Internship","Doha, Qatar","2026-01-14","https://careerportal.qatarenergy.qa/jobs/5288"
"Qatar","QatarEnergy","Technician Certificate Program – Nationals","Graduate & Internship","Doha, Qatar","2026-01-14","https://careerportal.qatarenergy.qa/jobs/5287"
"Qatar","QatarEnergy","Diploma Program - Nationals","Graduate & Internship","Doha, Qatar","2026-01-14","https://careerportal.qatarenergy.qa/jobs/5286"
"Qatar","QatarEnergy","University Scholarship Program - Nationals","Graduate & Internship","Doha, Qatar","2026-01-14","https://careerportal.qatarenergy.qa/jobs/5210"
"Qatar","QatarEnergy","Senior Electrical Engineer (Power Plant: Combine Cycle- Gas/Steam)","Operations & Process","Doha, Qatar","2026-01-14","https://careerportal.qatarenergy.qa/jobs/5159"
