"Country","Company","Title","Category","Location","Date Posted","Link"
"USA","Repsol","BESS Development Manager","Management","Downtown Houston, USA","2026-03-28","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Downtown-Houston/BESS-Development-Manager_81787"
"USA","Repsol","Maintenance Operations Intern","Internship / Graduate","Horseheads, USA","2026-03-28","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Horseheads/Maintenance-Operations-Intern_81786-2"
"Spain","Repsol","Analista de Laboratorio Fábrica de Lubricantes (Temporal)","Management","Fabrica Lubricantes Puertollano, Spain","2026-03-28","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Fabrica-Lubricantes-Puertollano/Analista-de-Laboratorio-Fbrica-de-Lubricantes--Temporal-_81773-1"
"Spain","Repsol","EDA Aguayo","Other","GBC CANTABRIA AGUAYO, Spain","2026-03-28","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/GBC-CANTABRIA-AGUAYO/EDA-Aguayo_80899"
"Spain","Repsol","Head of WTG Procurement","Supply Chain & Procurement","Campus Repsol-Madrid, Spain","2026-03-28","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Campus-Repsol-Madrid/Head-of-WTG-Procurement_81495-3"
"Spain","Repsol","Analista Planificación Financiera y Rating (Temporal)","Finance & Accounting","Campus Repsol-Madrid, Spain","2026-03-28","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Campus-Repsol-Madrid/Analista-Planificacin-Financiera-y-Rating--Temporal-_81761-1"
"Peru","Repsol","INGENIERO DE PROYECTOS","Other","Pe Refineria La Pampilla-, Peru","2026-03-27","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Pe-Refineria-La-Pampilla-/INGENIERO-DE-PROYECTOS_81743"
"Peru","Repsol","ANALISTA PROYECTOS ESPECIALES","Management","Pe Refineria La Pampilla-, Peru","2026-03-27","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Pe-Refineria-La-Pampilla-/ANALISTA-PROYECTOS-ESPECIALES_81551"
"Portugal","Repsol","Gestor/a de Desenvolvimento de Negócio e Vendas Técnicas – Solar & Armazenamento (C&I)","Management","Portugal Lisboa - Sede-Lisbon, Portugal","2026-03-27","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Portugal-Lisboa---Sede-Lisbon/Business-Development---Technical-Sales-Manager---Solar---Storage--C-I-_81379-2"
"Spain","Repsol","Especialista en Identidad Visual de Marca","Management","Campus Repsol-Madrid, Spain","2026-03-26","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Campus-Repsol-Madrid/Especialista-en-Identidad-Visual-de-Marca_80940-1"
"USA","Repsol","Procurement Manager/Sr Manager - Capital Equipment","Supply Chain & Procurement","Downtown Houston, USA","2026-03-26","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Downtown-Houston/Procurement-Manager--Capital-Equipment_81716"
"Spain","Repsol","Gestor/a Aprovisionamiento y Gestión de Stocks (Temporal)","Supply Chain & Procurement","Campus Repsol-Madrid, Spain","2026-03-26","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Campus-Repsol-Madrid/Gestor-a-Aprovisionamiento-y-Gestin-de-Stocks--Temporal-_81722-1"
"Spain","Repsol","Vendedor/a -Expendedor/a - Bolsa estaciones de servicio Zona PAIS VASCO, NAVARRA, LA RIOJA Y CANTABRIA 2026","Management","Delegacion Bilbao-Vizcaya, Spain","2026-03-25","https://repsol.wd3.myworkdayjobs.com/en-US/Repsol/job/Delegacion-Bilbao-Vizcaya/Vendedor-a--Expendedor-a---Bolsa-estaciones-de-servicio-Zona-PAIS-VASCO--NAVARRA--LA-RIOJA-Y-CANTABRIA-2026_81710"
