Country,Company,Title,Category,Location,Date Posted,Link
Egypt,SLB,Account manager,Sales & Commercial,Egypt,2026-03-05,https://careers.slb.com/jobdescription.aspx?id=WDR00133093
Saudi Arabia,SLB,Account Manager,Sales & Commercial,"Dammam, Saudi Arabia",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=WDR00133754
Iraq,SLB,AL Field Specialist,Operations,"Basrah, Iraq",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF12452-en_US%201
Egypt,SLB,Artificial Lift Field Specialist,Operations,"Cairo, Egypt",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF12688-en_US%201
Egypt,SLB,Artificial Lift Field Specialist Trainee,Operations,"Madinat Sittah Uktubar, Egypt",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF11750-en_US%201
Egypt,SLB,Cased Hole Wireline Operator,Operations,"Madinat Sittah Uktubar, Egypt",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF14883-en_US%201
Egypt,SLB,Coiled Tubing Equipment Operator,Operations,"Madinat Sittah Uktubar, Egypt",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF14884-en_US%201
Saudi Arabia,SLB,Commercial and Business Internship,Operations,"Multi-Location, Saudi Arabia",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6449-en_US%201
Oman,SLB,Commercial and Business Internship,Operations,"Multi-Location, Oman",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6449-en_US%206
Qatar,SLB,Commercial and Business Internship,Operations,"Multi-Location, Qatar",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6449-en_US%202
UAE,SLB,Commercial and Business Internship,Operations,"Multi-Location, UAE",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6449-en_US%203
Bahrain,SLB,Commercial and Business Internship,Operations,"Multi-Location, Bahrain",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6449-en_US%204
Kuwait,SLB,Commercial and Business Internship,Operations,"Multi-Location, Kuwait",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6449-en_US%205
Iraq,SLB,Commercial and Business Internship,Operations,"Basrah, Iraq",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF12502-en_US%201
Kuwait,SLB,Customer Engagement Coordinator,Operations,"Ahmadi, Kuwait",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF14636-en_US%201
Kuwait,SLB,D&I Data Scientist,Operations,"Ahmadi, Kuwait",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF12881-en_US%201
Egypt,SLB,District Sales Representative,Sales & Commercial,Egypt,2026-03-05,https://careers.slb.com/jobdescription.aspx?id=WDR00133054
Saudi Arabia,SLB,Early Careers - Commercial and Business,Sales & Commercial,"Multi-Location, Saudi Arabia",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6456-en_US%201
Saudi Arabia,SLB,Early Careers - Field Operations,Operations,"Multi-Location, Saudi Arabia",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6446-en_US%201
Qatar,SLB,Early Careers - Field Operations,Operations,"Multi-Location, Qatar",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6446-en_US%202
Bahrain,SLB,Early Careers - Field Operations,Operations,"Multi-Location, Bahrain",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6446-en_US%204
UAE,SLB,Early Careers - Field Operations,Operations,"Multi-Location, UAE",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6446-en_US%203
Oman,SLB,Early Careers - Field Operations,Operations,"Multi-Location, Oman",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6446-en_US%206
Kuwait,SLB,Early Careers - Field Operations,Operations,"Multi-Location, Kuwait",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6446-en_US%205
Egypt,SLB,Early Careers - Functions Internship,Operations,"Cairo, Egypt",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF14459-en_US%201
Egypt,SLB,Early Careers - Maintenance Internship,Operations,"Cairo, Egypt",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF14458-en_US%201
Egypt,SLB,Early Careers - Operations,Operations,"Multi-Location, Egypt",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF12074-en_US%201
Saudi Arabia,SLB,Early Careers - Operations Internship,Operations,"Multi-Location, Saudi Arabia",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF9016-en_US%201
Saudi Arabia,SLB,Early Careers - Operations Maintenance,Maintenance,"Multi-Location, Saudi Arabia",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6448-en_US%201
Oman,SLB,Early Careers - Operations Maintenance,Maintenance,"Multi-Location, Oman",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6448-en_US%206
Qatar,SLB,Early Careers - Operations Maintenance,Maintenance,"Multi-Location, Qatar",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6448-en_US%202
UAE,SLB,Early Careers - Operations Maintenance,Maintenance,"Multi-Location, UAE",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6448-en_US%203
Bahrain,SLB,Early Careers - Operations Maintenance,Maintenance,"Multi-Location, Bahrain",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6448-en_US%204
Kuwait,SLB,Early Careers - Operations Maintenance,Maintenance,"Multi-Location, Kuwait",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6448-en_US%205
Oman,SLB,Early Careers -Geoscience&Petrotechnical,Operations,"Multi-Location, Oman",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6447-en_US%206
Kuwait,SLB,Early Careers -Geoscience&Petrotechnical,Operations,"Multi-Location, Kuwait",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6447-en_US%205
UAE,SLB,Early Careers -Geoscience&Petrotechnical,Operations,"Multi-Location, UAE",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6447-en_US%203
Bahrain,SLB,Early Careers -Geoscience&Petrotechnical,Operations,"Multi-Location, Bahrain",2026-03-05,https://careers.slb.com/jobdescription.aspx?id=EF6447-en_US%204
