"Country","Company","Title","Category","Location","Date Posted","Link"
"China","Saipem","Electrical Superintendent","Engineering","China","2026-03-27","https://app.ncoreplat.com/jobposition/788949/electrical-superintendent-cn/global-projects-services-ag"
"Unknown","Saipem","Site Manager","Management","Unknown","2026-03-27","https://app.ncoreplat.com/jobposition/788961/site-manager-ao/various-projects-gps-tat"
"Unknown","Saipem","Operations Manager","Management","Unknown","2026-03-27","https://app.ncoreplat.com/jobposition/789171/operations-manager-ao/various-projects-gps-tat"
"Romania","Saipem","Cost Control Engineer","Finance & Accounting","Romania","2026-03-27","https://app.ncoreplat.com/jobposition/789217/cost-control-engineer-ro/saipem-romania-srl"
"India","Saipem","Process Design Engineer","Engineering","India","2026-03-27","https://app.ncoreplat.com/jobposition/788991/process-design-engineer-in/campaigns"
"India","Saipem","Electrical Designer","Engineering","India","2026-03-27","https://app.ncoreplat.com/jobposition/788948/electrical-designer-in/campaigns"
"India","Saipem","Electrical Design Engineer","Engineering","India","2026-03-27","https://app.ncoreplat.com/jobposition/788947/electrical-design-engineer-in/campaigns"
"China","Saipem","Electrical Supervisor","Engineering","China","2026-03-26","https://app.ncoreplat.com/jobposition/788725/electrical-supervisor-cn/global-projects-services-ag"
"France","Saipem","Technical Safety Lead (H/F)","Health, Safety & Environment","France","2026-03-26","https://app.ncoreplat.com/jobposition/788726/technical-safety-lead-h-f-fr/energy-carriers"
"France","Saipem","HVAC & Building Systems Engineer H/F","Engineering","France","2026-03-26","https://app.ncoreplat.com/jobposition/788743/hvac-amp-building-systems-engineer-h-f-fr/energy-carriers"
"Italy","Saipem","Soil Mechanics Engineer Stage","Internship / Graduate","Italy","2026-03-26","https://app.ncoreplat.com/jobposition/788852/soil-mechanics-engineer-stage-it/saipem-spa"
"Italy","Saipem","Thesis Internship - Process Engineer Urea Technology","Internship / Graduate","Italy","2026-03-26","https://app.ncoreplat.com/jobposition/788844/thesis-internship-process-engineer-urea-technology-it/saipem-spa"
"Italy","Saipem","Stage - Process Engineer","Internship / Graduate","Italy","2026-03-26","https://app.ncoreplat.com/jobposition/788812/stage-process-engineer-it/saipem-spa"
"China","Saipem","Contract Manager","Management","China","2026-03-25","https://app.ncoreplat.com/jobposition/788418/contract-manager-cn/global-projects-services-ag"
"Italy","Saipem","Pre-Commissioning Engineer","Engineering","Italy","2026-03-25","https://app.ncoreplat.com/jobposition/788449/pre-commissioning-engineer-it/fano-italy"
"United Kingdom","Saipem","Survey Workshop Supervisor","Management","United Kingdom","2026-03-25","https://app.ncoreplat.com/jobposition/788610/rov-workshop-supervisor-gb/onshore"
"Angola","Saipem","FPSO Cargo Supervisor","Management","Angola","2026-03-24","https://app.ncoreplat.com/jobposition/788332/fpso-cargo-supervisor-ao/gps-international-vacancy"
"France","Saipem","Lead Electrical Engineer H/F","Engineering","France","2026-03-23","https://app.ncoreplat.com/jobposition/788082/lead-electrical-engineer-h-f-fr/enops"
"United Kingdom","Saipem","Offshore Methods Engineer","Engineering","United Kingdom","2026-03-23","https://app.ncoreplat.com/jobposition/788205/offshore-methods-engineer-gb/engineering"
"Italy","Saipem","Stage - Cost Estimator","Internship / Graduate","Italy","2026-03-23","https://app.ncoreplat.com/jobposition/788072/stage-cost-estimator-it/saipem-spa"
"Italy","Saipem","Stage - Electrical Cost Engineer Specialist","Internship / Graduate","Italy","2026-03-23","https://app.ncoreplat.com/jobposition/788029/stage-electrical-cost-engineer-specialist-it/saipem-spa"
"United Kingdom","Saipem","Paralegal","Legal & Compliance","United Kingdom","2026-03-20","https://app.ncoreplat.com/jobposition/787983/paralegal-gb/support-functions"
"United Kingdom","Saipem","ROV Tooling Technician (mechanical)","Engineering","United Kingdom","2026-03-20","https://app.ncoreplat.com/jobposition/787942/rov-tooling-technician-mechanical-gb/onshore"
"Italy","Saipem","Automation & Control System Engineer","Engineering","Italy","2026-03-20","https://app.ncoreplat.com/jobposition/787754/automation-amp-control-system-engineer-it/saipem-spa"
"Italy","Saipem","Internship - ServiceNow Junior Specialist","Internship / Graduate","Italy","2026-03-20","https://app.ncoreplat.com/jobposition/787784/internship-servicenow-junior-specialist-it/saipem-spa"
