"Country","Company","Title","Category","Location","Date Posted","Link"
"South Africa","Sasol","SHE IMS Practitioner","HSE","Secunda, South Africa","2026-03-21","https://jobs.sasol.com/job/Secunda-SHE-IMS-Practitioner/1366282433/"
"USA","Sasol","APC Optimization Team Lead","Other","Lake Charles, USA","2026-03-21","https://jobs.sasol.com/job/Lake-Charles-APC-Optimization-Team-Lead/1175420301/"
"South Africa","Sasol","Snr Specialist Sox IM","Other","Sandton, South Africa","2026-03-20","https://jobs.sasol.com/job/Sandton-Snr-Specialist-Sox-IM/1283279301/"
"South Africa","Sasol","Junior Chemical Plant Operator (Jnr CPO)","Operations","Secunda, South Africa","2026-03-20","https://jobs.sasol.com/job/Secunda-Junior-Chemical-Plant-Operator-%28Jnr-CPO%29/1375822833/"
"South Africa","Sasol","Junior Chemical Plant Operator (Jnr CPO)","Operations","Secunda, South Africa","2026-03-20","https://jobs.sasol.com/job/Secunda-Junior-Chemical-Plant-Operator-%28Jnr-CPO%29/1375835133/"
"South Africa","Sasol","Technician I Mechanical","Engineering","Secunda, South Africa","2026-03-20","https://jobs.sasol.com/job/Secunda-Technician-I-Mechanical/1375961833/"
"South Africa","Sasol","Clerk","Other","Secunda, South Africa","2026-03-19","https://jobs.sasol.com/job/Secunda-Clerk/1375477533/"
"South Africa","Sasol","Maintenance Operator Gr 2 Mechanical","Operations","Secunda, South Africa","2026-03-19","https://jobs.sasol.com/job/Secunda-Maintenance-Operator-Gr-2-Mechanical/1375587833/"
"South Africa","Sasol","Shift Superintendent (Magazine Master)","Management","Secunda, South Africa","2026-03-19","https://jobs.sasol.com/job/Secunda-Shift-Superintendent-%28Magazine-Master%29-Non-Permanent-Employee-%2812-months%29/1375628433/"
"South Africa","Sasol","Maintenance Operator Mechanical Gr 2 x4","Operations","Secunda, South Africa","2026-03-19","https://jobs.sasol.com/job/Secunda-Maintenance-Operator-Mechanical-Gr-2-x4/1375635633/"
"USA","Sasol","Discipline Engineer - Instrumentation","Engineering","Lake Charles, USA","2026-03-18","https://jobs.sasol.com/job/Lake-Charles-Discipline-Engineer-Instrumentation/1178061901/"
"Germany","Sasol","Ausbildung Chemikant - Start 2026","Other","Brunsbuettel, Germany","2026-03-18","https://jobs.sasol.com/job/Brunsb%C3%BCttel-Ausbildung-Chemikantin-Start-2026/1222432501/"
"Germany","Sasol","Ausbildung Chemielaborant - Start 2026","Other","Brunsbuettel, Germany","2026-03-18","https://jobs.sasol.com/job/Brunsb%C3%BCttel-Ausbildung-Chemielaborantin-Start-2026/1223085901/"
"South Africa","Sasol","Artisan Gr 2 Turbine Fitter","Operations","Sasolburg, South Africa","2026-03-18","https://jobs.sasol.com/job/Sasolburg-Artisan-Gr-2-Turbine-Fitter/1375115033/"
"South Africa","Sasol","Chemical Plant Operator (Jnr CPO)","Operations","Secunda, South Africa","2026-03-18","https://jobs.sasol.com/job/Secunda-Chemical-Plant-Operator-%28Jnr-CPO%29/1375137233/"
"South Africa","Sasol","Application Support Specialist","Technology","Sandton, South Africa","2026-03-18","https://jobs.sasol.com/job/Sandton-Application-Support-Specialist/1375147633/"
"Mozambique","Sasol","Junior Approved Inspection Authority (AIA) Inspector","Other","Inhambane, Mozambique","2026-03-18","https://jobs.sasol.com/job/Inhambane-Junior-Approved-Inspection-Authority-%28AIA%29-Inspector/1375102233/"
"Mozambique","Sasol","Reliability Practitioner","Other","Inhambane, Mozambique","2026-03-18","https://jobs.sasol.com/job/Inhambane-Reliability-Practitioner/1375133833/"
"Mozambique","Sasol","Artisan Gr 1 Mechanical Fitter","Operations","Inhambane, Mozambique","2026-03-18","https://jobs.sasol.com/job/Inhambane-Artisan-Gr-1-Mechanical-Fitter/1374945933/"
"South Africa","Sasol","Junior Chemical Plant Operator (Jnr CPO)","Operations","Secunda, South Africa","2026-03-17","https://jobs.sasol.com/job/Secunda-Junior-Chemical-Plant-Operator-%28Jnr-CPO%29/1374659433/"
"South Africa","Sasol","Senior Technician Instrument","Engineering","Sasolburg, South Africa","2026-03-17","https://jobs.sasol.com/job/Sasolburg-Senior-Technician-Instrument/1374453633/"
"South Africa","Sasol","Specialist Ventilation & Occ Hygiene","HSE","Secunda, South Africa","2026-03-16","https://jobs.sasol.com/job/Secunda-Specialist-Ventilation-&-Occ-Hygiene/1374223233/"
"South Africa","Sasol","Artisan Gr 2 Instrument Mechanician","Operations","Secunda, South Africa","2026-03-16","https://jobs.sasol.com/job/Secunda-Artisan-Gr-2-Instrument-Mechanician/1374176333/"
"South Africa","Sasol","Administrator Company Secretarial Services","Legal","Sandton, South Africa","2026-03-13","https://jobs.sasol.com/job/Sandton-Administrator-Company-Secretarial-Services/1373501233/"
"South Africa","Sasol","Miner x13","Operations","Secunda, South Africa","2026-03-13","https://jobs.sasol.com/job/Secunda-Miner-x13/1373595533/"
