Title,Company,Location,Country,Date_Posted,Job_URL
Risk & Resource Geoscientist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Risk-&-Resource-Geoscientist/856937223/
Field Development Geologist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Field-Development-Geologist/857076523/
Business System Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Business-System-Analyst/857099523/
Digital & IT Strategy Consultant,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Digital-&-IT-Strategy-Consultant/857076323/
Geomatics/Geographic Information Systems Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/GeomaticsGeographic-Information-Systems-Analyst/857076723/
Oil Reservoir Management Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Oil-Reservoir-Management-Engineer/857030523/
Data Scientist Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Data-Scientist-Specialist/857099623/
Industrial Computer Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Industrial-Computer-Engineer/857075023/
LNG Sales & Marketing Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/LNG-Sales-&-Marketing-Specialist/857075923/
Facilities Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Facilities-Engineer/857074923/
Diving Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Diving-Specialist/857075223/
LNG Economist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/LNG-Economist/857075823/
Senior Diving Inspection Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Senior-Diving-Inspection-Specialist/857075123/
Deal Quality Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Deal-Quality-Specialist/857075723/
International Media Relations Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/International-Media-Relations-Specialist/857098723/
Subsurface Data Management Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Subsurface-Data-Management-Specialist/857075623/
Environmental Coordinator,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Environmental-Coordinator/857098323/
Credit Risk Management Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Credit-Risk-Management-Analyst/857028523/
Lead Financial Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Lead-Financial-Analyst/857073823/
Program Manager and Development Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Program-Manager-and-Development-Advisor/857074023/
Assessment & Coaching Subject Matter Expert,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Assessment-&-Coaching-Subject-Matter-Expert/857074123/
Senior Accounting Analyst (Medical Actuary),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Senior-Accounting-Analyst-%28Medical-Actuary%29/857097423/
Management and Professional Trainer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Management-and-Professional-Trainer/857074323/
Gas Reservoir Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Gas-Reservoir-Engineer/857121923/
Career Development Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Career-Development-Specialist/857074223/
Linear Programming (LP) Modeling Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Linear-Programming-%28LP%29-Modeling-Engineer/857096723/
Project Support Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Project-Support-Engineer/857121123/
Downstream Transformation Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Downstream-Transformation-Analyst/857120823/
Litigation Counsel,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Litigation-Counsel/857120423/
Affiliate Financial Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Affiliate-Financial-Advisor/857095623/
English Content Creator,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/English-Content-Creator/857096123/
AFFILIATES MANAGEMENT ADVISOR,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/AFFILIATES-MANAGEMENT-ADVISOR/857095723/
Senior Archivist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Senior-Archivist/856442923/
Venture Building Expert,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Venture-Building-Expert/857026123/
Insurance Risk Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Insurance-Risk-Specialist/857027323/
Capital Markets Financial Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Capital-Markets-Financial-Analyst/857027123/
Project Finance Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Project-Finance-Specialist/857027223/
Digital Marketing Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Digital-Marketing-Analyst/856442623/
Strategy & Energy Market Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Strategy-&-Energy-Market-Specialist/857027423/
Oil Reservoir Management Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Oil-Reservoir-Management-Engineer/857023723/
Treasury Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Treasury-Analyst/857023123/
Debt Management Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Debt-Management-Specialist/857021523/
Cash Management Treasury Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Cash-Management-Treasury-Analyst/857023023/
Affiliate Finance Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Affiliate-Finance-Advisor/857068423/
