"Country","Company","Title","Category","Location","Date Posted","Link"
"Indonesia","Sembcorp","Deputy Project Manager, Based in Jakarta Selatan","Engineering & Technical","Jakarta, Indonesia","2026-04-06","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69d4994b8a4e2"
"Indonesia","Sembcorp","QAQC Engineer ( Electrical), Based in Jakarta Selatan","Engineering & Technical","Jakarta, Indonesia","2026-04-06","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69d49aa4cc343"
"Singapore","Sembcorp","Enterprise Applications Lead","Digital & IT","Central, Singapore","2026-04-05","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69d3097687333"
"Singapore","Sembcorp","Senior Executive - Resident Technical Officer (Civil and Structural)","Engineering & Technical","East, Singapore","2026-04-05","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69d31888208e1"
"Philippines","Sembcorp","Manager, Finance and HR Admin (Based in Makati, Philippines)","Finance & Accounting","Metro Manila, Philippines","2026-04-01","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69cdd1b4ccf71"
"Singapore","Sembcorp","Intern, Document Management System","Internship & Graduate","Central, Singapore","2026-03-30","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69cb1d7498a0a"
"Singapore","Sembcorp","Intern, Software Engineer (AI & Applications)","Internship & Graduate","Central, Singapore","2026-03-30","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69cb2552d9967"
"Singapore","Sembcorp","Intern, Group Finance Process Excellence","Internship & Graduate","Central, Singapore","2026-03-30","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69cb281e342e2"
"Singapore","Sembcorp","Assistant Manager - Resident Engineer, Civil & Structural (Offshore)","Engineering & Technical","East, Singapore","2026-03-30","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69cb3a3ec4be5"
"India","Sembcorp","Manager/Senior Manager Wind Operations Engineering","Engineering & Technical","Gujarat, India","2026-03-30","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69ca947040c1c"
"Singapore","Sembcorp","Executive - Security Administrator","HSE & Security","East, Singapore","2026-03-29","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c25140a073c"
"Vietnam","Sembcorp","Senior Executive, HSSE (based in Hanoi, Vietnam)","HSE & Security","Hanoi, Vietnam","2026-03-29","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c9fa127c4de"
"Singapore","Sembcorp","Intern, Business Analyst","Internship & Graduate","Central, Singapore","2026-03-29","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69ca508fe3e9f"
"India","Sembcorp","Senior Executive","Management","Karnataka, India","2026-03-28","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c80ad44780a"
"Singapore","Sembcorp","Senior Director/Deputy General Director, VSIP (based in Vietnam)","Management","Central, Singapore","2026-03-26","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c5e01132460"
"Vietnam","Sembcorp","Senior Manager, Commercial (Japanese marketing) - based in Binh Duong, Vietnam","Business Development","Binh Duong, Vietnam","2026-03-26","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c6450747a3e"
"Vietnam","Sembcorp","Senior Executive, Leasing Management (based in Hai Phong, Vietnam)","Digital & IT","Hai Phong, Vietnam","2026-03-25","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c2465bb6d6c"
"Singapore","Sembcorp","Intern, Data Analytics","Internship & Graduate","Central, Singapore","2026-03-25","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c4972625d9d"
"Singapore","Sembcorp","Intern, Water Operations (Jurong Island)","Internship & Graduate","West, Singapore","2026-03-25","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c49a169b492"
"Indonesia","Sembcorp","Finance Executive, Based in Jakarta Selatan","Finance & Accounting","Jakarta, Indonesia","2026-03-23","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69c1f8b848354"
"Singapore","Sembcorp","Manager, Investment & Business Development (IUS)","Business Development","Singapore, Singapore","2026-03-20","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a698978386b27d"
"Singapore","Sembcorp","Manager, Data Analyst (Audit)","Finance & Accounting","Central, Singapore","2026-03-19","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69bd1827b329e"
"Singapore","Sembcorp","Operations Technician (Electrical, Mechanical, I&C Trade), Based in Jurong Island","Engineering & Technical","West, Singapore","2026-03-17","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a68ef566f8c8f5"
"Indonesia","Sembcorp","Paralegal - Based in Jakarta Selatan","Legal & Compliance","Jakarta, Indonesia","2026-03-17","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69b8f6633db40"
"Singapore","Sembcorp","Operations Engineer - Based in Jurong Island","Engineering & Technical","West, Singapore","2026-03-17","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69ba0f94c5c20"
"Singapore","Sembcorp","Assistant Manager - Mechanical & Electrical","Engineering & Technical","East, Singapore","2026-03-17","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69ba5b067fa1b"
"Singapore","Sembcorp","Operations Technician (Water Cluster), Based in Jurong Island","Operations & Maintenance","West, Singapore","2026-03-17","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69ba77e4e89dd"
"Singapore","Sembcorp","Manager, Investor Relations","Finance & Accounting","Central, Singapore","2026-03-16","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69b92675aa2a8"
"Bangladesh","Sembcorp","Thermal (Gas)_Operations","Operations & Maintenance","Rajshahi, Bangladesh","2026-03-15","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69b783f438167"
"Singapore","Sembcorp","Assistant Manager, Group Integrated Audit","Finance & Accounting","Central, Singapore","2026-03-15","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69b779e5b3efa"
"Singapore","Sembcorp","Intern, Cyber Security","Internship & Graduate","Central, Singapore","2026-03-13","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69b505439b322"
"Singapore","Sembcorp","Intern, End User Computing","Internship & Graduate","Central, Singapore","2026-03-13","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69b5080533198"
"Singapore","Sembcorp","Trainee, Operations Technician [GRIT Programme]","Internship & Graduate","West, Singapore","2026-03-12","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69b3b52690cb3"
"Vietnam","Sembcorp","Manager, Construction Management (based in HCM, Vietnam)","Engineering & Technical","Ho Chi Minh City, Vietnam","2026-03-12","https://hrsembcorp.darwinbox.com/ms/candidatev2/main/careers/jobDetails/a69b3da58d3978"
