Country,Company,Title,Category,Location,Date Posted,Link
Canada,Suncor,Maintenance Planner,Mechanical & Structural,"Montreal, QC, Canada",2026-04-03,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Montreal-QC-CAN/Maintenance-Planner_R0016026
Canada,Suncor,Paramedic /Firefighter,HSE,"Fort McMurray, AB, Canada",2026-04-03,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Fort-McMurray-Mildred-Lake-AB-CAN/Paramedic--Firefighter_R0016104
Canada,Suncor,Sr Contracts Advisor,Legal & Compliance,"Calgary, AB, Canada",2026-04-03,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Sr-Contracts-Advisor_R0016108-1
Canada,Suncor,Industrial Hygienist,HSE,"Sherwood Park, AB, Canada",2026-04-03,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Sherwood-Park-AB-CAN/Industrial-Hygienist_R0016053
Canada,Suncor,Sr Mining Engineer,Drilling & Wells,"Calgary, AB, Canada",2026-04-01,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Sr-Mining-Engineer_R0015443
USA,Suncor,Marine Coordinator - Vetting - Houston,Management & Administration,"Houston, TX, USA",2026-04-01,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Houston-TX-USA/Marine-Coordinator---Vetting---Houston_R0016091
Canada,Suncor,Laboratory Technician,Operations & Process,"Sherwood Park, AB, Canada",2026-03-31,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Sherwood-Park-AB-CAN/Laboratory-Technician_R0015907
Canada,Suncor,IT Operations Analyst,Operations & Process,"Calgary, AB, Canada",2026-03-31,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/IT-Operations-Analyst_R0015890
Canada,Suncor,Fixed Plant Operator - Primary Extraction,Operations & Process,"Fort McMurray, AB, Canada",2026-03-31,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Fort-McMurray-Fort-Hills-AB-CAN/Fixed-Plant-Operator---Primary-Extraction_R0016074
Canada,Suncor,Development Lead,Management & Administration,"Sarnia, ON, Canada",2026-03-31,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Sarnia-ON-CAN/Development-Engineering-Lead_R0015167
Canada,Suncor,Senior Digital Delivery Analyst – SAP S/4,IT & Digital,"Calgary, AB, Canada",2026-03-28,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Senior-Digital-Delivery-Analyst---SAP-S-4_R0015982
Canada,Suncor,Financial Systems Analyst (Finance & Planning),Finance & Accounting,"Calgary, AB, Canada",2026-03-28,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Financial-Systems-Analyst--Finance---Planning-_R0015986-1
Canada,Suncor,Data Advisor,IT & Digital,"Calgary, AB, Canada",2026-03-28,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Data-Advisor_R0015950-1
Canada,Suncor,Project Lead,Management & Administration,"Sarnia, ON, Canada",2026-03-28,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Sarnia-ON-CAN/Project-Lead_R0016016
Canada,Suncor,Senior Digital Delivery Analyst,IT & Digital,"Calgary, AB, Canada",2026-03-28,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Senior-Digital-Delivery-Analyst_R0015757
Canada,Suncor,Inventory Planning Manager,Supply Chain,"Calgary, AB, Canada",2026-03-28,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Inventory-Planning-Manager_R0015867
USA,Suncor,Team Lead Maintenance,Mechanical & Structural,"Commerce City, CO, USA",2026-03-27,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Commerce-City-CO-USA/Team-Lead-Maintenance_R0015860
Canada,Suncor,Team Lead Laboratory,Operations & Process,"Sherwood Park, AB, Canada",2026-03-27,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Sherwood-Park-AB-CAN/Team-Lead-Laboratory_R0015962
Canada,Suncor,Quality Assurance Inspector,HSE,"Fort McMurray, AB, Canada",2026-03-27,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Fort-McMurray-Base-Plant-AB-CAN/Quality-Assurance-Inspector_R0016038
Canada,Suncor,Sr. Instrumentation Engineer,Electrical & Instrumentation,"Fort McMurray, AB, Canada",2026-03-26,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Fort-McMurray-Mackay-River-AB-CAN/Sr-Instrumentation-Engineer_R0015981
Canada,Suncor,Paramedic / Firefighter,HSE,"Fort McMurray, AB, Canada",2026-03-25,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Fort-McMurray-Fort-Hills-AB-CAN/Paramedic---Firefighter_R0016010
Canada,Suncor,"Development Engineer, Insitu Well Pads",Drilling & Wells,"Calgary, AB, Canada",2026-03-21,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Development-Engineer--Insitu-Well-Pads_R0015837
Canada,Suncor,Mine Dispatch Lead,Drilling & Wells,"Fort McMurray, AB, Canada",2026-03-17,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Fort-McMurray-Mildred-Lake-AB-CAN/Mine-Dispatch-Lead_R0015918
Canada,Suncor,Alberta Reliability Standards - CIP Compliance Specialist,Mechanical & Structural,Multiple Locations,2026-03-13,https://suncor.wd1.myworkdayjobs.com/en-US/Suncor_External/job/Calgary-AB-CAN/Alberta-Reliability-Standards----CIP-Compliance-Specialist_R0015872
