"Country","Company","Title","Category","Location","Date Posted","Link"
"Saudi Arabia","Wood","Project Engineer III","Project Management","Saudi Arabia","2026-04-05","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27888"
"Qatar","Wood","Electrical Engineer","Electrical & Instrumentation","Doha, Qatar","2026-04-05","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28291"
"Brunei Darussalam","Wood","Permit Author","IT & Digital","Brunei Darussalam","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25289"
"United Arab Emirates","Wood","IT Admin (UAE National)","IT & Digital","Abu Dhabi, United Arab Emirates","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27150"
"United Arab Emirates","Wood","Graduate Project Engineer-UAE National","Project Management","Abu Dhabi, United Arab Emirates","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27334"
"United Kingdom","Wood","Instrument Technician - ENI Douglas","Electrical & Instrumentation","United Kingdom","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27355"
"United Arab Emirates","Wood","Senior Instrumentation Engineer-Field","Electrical & Instrumentation","Abu Dhabi, United Arab Emirates","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27492"
"United Kingdom","Wood","Senior Operations & Maintenance Engineer","Mechanical & Maintenance","Aberdeen, Aberdeenshire, United Kingdom","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28330"
"United Arab Emirates","Wood","Cost Control Engineer-UAE National","Electrical & Instrumentation","Abu Dhabi, United Arab Emirates","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28346"
"United Arab Emirates","Wood","Graduate Civil Engineer (UAE Nationals)","Civil & Construction","Abu Dhabi, United Arab Emirates","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28323"
"United Arab Emirates","Wood","PMC  Senior Civil & Structural Engineer","Civil & Construction","Abu Dhabi, United Arab Emirates","2026-04-03","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/28329"
"Brunei Darussalam","Wood","PMS Supervisor","Other","Brunei Darussalam","2026-04-02","https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/27321"
