"Country","Company","Title","Category","Location","Date Posted","Link"
"Australia","Woodside Energy","Technical Lead","Engineering","Perth, Western Australia","2026-03-28","https://careers.woodside.com.au/job/Technical-Lead/1359274466/"
"Australia","Woodside Energy","Global Wells & Seismic HSE Adviser (Onshore)","Engineering","Perth, Western Australia","2026-03-26","https://careers.woodside.com.au/job/Global-Wells-&-Seismic-HSE-Adviser-%28Onshore%29/1359208566/"
"Australia","Woodside Energy","HSE Business Advisor","Health, Safety & Environment","Perth, Western Australia","2026-03-25","https://careers.woodside.com.au/job/HSE-Business-Advisor/1359134566/"
"Mexico","Woodside Energy","Offtake Coordinator","Management","Mexico","2026-03-24","https://careers.woodside.com.au/job/Offtake-Coordinator/1359078366/"
"Mexico","Woodside Energy","Ballast Control Operator","Operations & Maintenance","Mexico","2026-03-24","https://careers.woodside.com.au/job/Ballast-Control-Operator/1359078066/"
"Mexico","Woodside Energy","Finance Manager - Mexico","Finance & Accounting","Mexico","2026-03-22","https://careers.woodside.com.au/job/Finance-Manager-Mexico/1358955866/"
"Mexico","Woodside Energy","Field Operator","Operations & Maintenance","Mexico","2026-03-20","https://careers.woodside.com.au/job/Field-Operator/1358937566/"
"USA","Woodside Energy","Senior Legal Counsel","Legal & Compliance","Houston, Texas","2026-03-19","https://careers.woodside.com.au/job/Senior-Legal-Counsel-TX-77056/1358878066/"
"Mexico","Woodside Energy","Control Room Operator","Operations & Maintenance","Mexico","2026-03-17","https://careers.woodside.com.au/job/Control-Room-Operator/1358746266/"
"United Kingdom","Woodside Energy","Oil Trader (London)","Finance & Accounting","London, United Kingdom","2026-03-17","https://careers.woodside.com.au/job/Oil-Trader-%28London%29/1358697566/"
"Mexico","Woodside Energy","Principal Production Engineer","Engineering","Mexico","2026-03-15","https://careers.woodside.com.au/job/Principal-Production-Engineer/1358609666/"
