"Country","Company","Title","Category","Location","Date Posted","Link"
"Colombia","Worley","Senior Structural Engineer - Colombia (EN/ES/PT)- (Talent Pool)","Engineering","Bogotá, Capital District, Colombia","2026-04-06","https://jobs.worley.com/careers/job/1133910365598"
"India","Worley","Senior Manager, Site Construction","General","Mumbai, Maharashtra, India","2026-04-06","https://jobs.worley.com/careers/job/1133911869143"
"USA","Worley","Department Manager – Civil, Structural & Architectural (CSA)","Engineering","Charleston, West Virginia, United States","2026-04-02","https://jobs.worley.com/careers/job/1133910366270"
"USA","Worley","Senior Portfolio Manager","General","Denver, Colorado, United States","2026-03-31","https://jobs.worley.com/careers/job/1133911466498"
"Colombia","Worley","Mechanical Engineer -Equipos Mecánicos","Engineering","Bogotá, Capital District, Colombia","2026-03-31","https://jobs.worley.com/careers/job/1133912321022"
"USA","Worley","Senior Piping Designer-Chemicals","Engineering","Charleston, West Virginia, United States","2026-03-31","https://jobs.worley.com/careers/job/1133912429874"
"USA","Worley","Senior Mechanical Engineer-Chemicals","Engineering","Charleston, West Virginia, United States","2026-03-31","https://jobs.worley.com/careers/job/1133912425216"
"Colombia","Worley","Ingeniero Mecánico - Aire Acondicionado","General","Bogotá, Capital District, Colombia","2026-03-31","https://jobs.worley.com/careers/job/1133912284025"
"India","Worley","Deputy General Manager","General","Vadodara, Gujarat, India","2026-03-31","https://jobs.worley.com/careers/job/1133910364971"
"Canada","Worley","Principal Mechanical Engineer - Material Handling","Engineering","Vancouver, British Columbia, Canada","2026-03-30","https://jobs.worley.com/careers/job/1133912384590"
"Canada","Worley","Senior Mechanical Engineer, Mechanical Equipment in MMM","Engineering","Vancouver, British Columbia, Canada","2026-03-30","https://jobs.worley.com/careers/job/1133912428699"
"India","Worley","Project Accountant II","Finance & Accounting","Navi Mumbai, Maharashtra, India","2026-03-30","https://jobs.worley.com/careers/job/1133911358992"
"Chile","Worley","Ingeniero Telecomunicaciones - Proyectos en minería","General","Santiago de Chile, Metropolitana, Chile","2026-03-19","https://jobs.worley.com/careers/job/1133912282358"
"USA","Worley","Senior Principal Electrical, Instrumentation & Control Engineer","Instrumentation & Electrical","Charleston, West Virginia, United States","2026-03-18","https://jobs.worley.com/careers/job/1133911982211"
"UK","Worley","Director, Estimating","Project Management","London, Greater London, United Kingdom","2026-03-17","https://jobs.worley.com/careers/job/1133911826597"
"Chile","Worley","Senior Manager, Project Controls","Project Management","Santiago de Chile, Metropolitana, Chile","2026-03-11","https://jobs.worley.com/careers/job/1133910452130"
"Peru","Worley","SME - Tin","General","Lima, Lima Province, Peru","2026-03-03","https://jobs.worley.com/careers/job/1133910512631"
"India","Worley","Senior Mechanical Engineer","Engineering","Kolkata, West Bengal, India","2026-02-26","https://jobs.worley.com/careers/job/1133911829259"
"Colombia","Worley","Senior Piping Engineer (Talent Pool)","Engineering","Bogotá, Capital District, Colombia","2026-02-23","https://jobs.worley.com/careers/job/1133910188863"
"USA","Worley","Senior Civil Structural Architectural (CSA) Engineer","Engineering","Charleston, West Virginia, United States","2026-02-18","https://jobs.worley.com/careers/job/1133911432128"
"India","Worley","Senior Project Planner -Construction","Project Management","Mumbai, Maharashtra, India","2026-02-12","https://jobs.worley.com/careers/job/1133911048275"
"Colombia","Worley","Senior Instrumentation Engineer (Portugues)","Instrumentation & Electrical","Bogotá, Capital District, Colombia","2026-02-09","https://jobs.worley.com/careers/job/1133910152856"
"USA","Worley","Senior Project Manager-Power Network","Project Management","Reading, Pennsylvania, United States","2026-01-27","https://jobs.worley.com/careers/job/1133910690046"
"Chile","Worley","Dry Area Manager","General","Santiago de Chile, Metropolitana, Chile","2026-01-15","https://jobs.worley.com/careers/job/1133910452129"
"Colombia","Worley","Senior Piping Engineer (Portuguese)","Engineering","Bogotá, Capital District, Colombia","2025-12-22","https://jobs.worley.com/careers/job/1133910365589"
"Chile","Worley","Wet Area Manager","General","Santiago de Chile, Metropolitana, Chile","2025-12-12","https://jobs.worley.com/careers/job/1133910165552"
"Australia","Worley","Tailings Discipline Manager","General","Perth, Western Australia, Australia","2026-04-07","https://jobs.worley.com/careers/job/1133911868039"
"USA","Worley","Document Controller II","Administration","Bismarck, North Dakota, United States","2026-04-07","https://jobs.worley.com/careers/job/1133912281128"
"","Worley","Senior Logistics Coordinator MAR - Nights","Supply Chain & Logistics","","2026-04-07","https://jobs.worley.com/careers/job/1133912614091"
"","Worley","Senior Procurement Contract Specialist","Supply Chain & Logistics","","2026-04-07","https://jobs.worley.com/careers/job/1133912613791"
"","Worley","Material Handler","General","","2026-04-07","https://jobs.worley.com/careers/job/1133912613412"
"","Worley","Material Handler","General","","2026-04-07","https://jobs.worley.com/careers/job/1133912613406"
"","Worley","Material Handler","General","","2026-04-07","https://jobs.worley.com/careers/job/1133912613233"
"","Worley","Material Handler","General","","2026-04-07","https://jobs.worley.com/careers/job/1133912613231"
"","Worley","Light Equipment Operator","Engineering","","2026-04-07","https://jobs.worley.com/careers/job/1133912613122"
"USA","Worley","Subcontract Administrator III","Supply Chain & Logistics","Cameron, Louisiana, United States","2026-04-07","https://jobs.worley.com/careers/job/1133912613118"
"","Worley","Light Equipment Operator","Engineering","","2026-04-07","https://jobs.worley.com/careers/job/1133912613119"
"","Worley","Light Equipment Operator","Engineering","","2026-04-07","https://jobs.worley.com/careers/job/1133912613121"
"","Worley","Light Equipment Operator","Engineering","","2026-04-07","https://jobs.worley.com/careers/job/1133912613024"
"","Worley","Light Equipment Operator (Nights)","Engineering","","2026-04-07","https://jobs.worley.com/careers/job/1133912613025"
"","Worley","Heavy Equipment Operator","Engineering","","2026-04-07","https://jobs.worley.com/careers/job/1133912612358"
"USA","Worley","Senior Subcontract Administrator","Supply Chain & Logistics","Cameron, Louisiana, United States","2026-04-07","https://jobs.worley.com/careers/job/1133912595770"
"","Worley","Light Equipment Operator","Engineering","","2026-04-07","https://jobs.worley.com/careers/job/1133912612260"
"","Worley","Carpenter Helper (Nights)","Operations & Technical","","2026-04-07","https://jobs.worley.com/careers/job/1133912612261"
"","Worley","Invoice Auditor","Finance & Accounting","","2026-04-07","https://jobs.worley.com/careers/job/1133912611538"
"","Worley","Manager, Application Development","IT & Digital","","2026-04-07","https://jobs.worley.com/careers/job/1133912440919"
"Canada","Worley","Payroll Administrator","Finance & Accounting","Calgary, Alberta, Canada","2026-04-07","https://jobs.worley.com/careers/job/1133912407380"
"Canada","Worley","Mining Technical Director, Autonomous Operations","Operations & Technical","Vancouver, British Columbia, Canada","2026-04-07","https://jobs.worley.com/careers/job/1133911124630"
"USA","Worley","GMT Scaffold Tech (Rotational Schedule) - Prudhoe Bay, AK","Operations & Technical","Prudhoe Bay, Alaska, United States","2026-04-07","https://jobs.worley.com/careers/job/1133911972525"
"Canada","Worley","Principal Onshore Pipelines Engineer","Engineering","Calgary, Alberta, Canada","2026-04-07","https://jobs.worley.com/careers/job/1133910437155"
"Canada","Worley","Procurement Intern","Internship","Pickering, Ontario, Canada","2026-04-07","https://jobs.worley.com/careers/job/1133912534801"
"Canada","Worley","Senior Manager, Procurement Contracts","Supply Chain & Logistics","Markham, Ontario, Canada","2026-04-07","https://jobs.worley.com/careers/job/1133910365200"
"USA","Worley","Crane Operator","General","Bayport, Texas, United States","2026-04-07","https://jobs.worley.com/careers/job/1133912607888"
"USA","Worley","Automation and  I&C Senior Estimator","Instrumentation & Electrical","Houston, Texas, United States","2026-04-07","https://jobs.worley.com/careers/job/1133911282009"
"Saudi Arabia","Worley","Senior Telecommunications Engineer (WAS Site)","Communications & Marketing","Turaif, Northern Province, Saudi Arabia","2026-04-07","https://jobs.worley.com/careers/job/1133912607325"
"USA","Worley","Pipe / Structural Welder - Deadhorse CMC Fab Shop  (Rotational Schedule) - Prudhoe Bay, AK","Engineering","Prudhoe Bay, Alaska, United States","2026-04-07","https://jobs.worley.com/careers/job/1133912003049"
"India","Worley","Manager I, Mechanical Engineer","Engineering","Mumbai, Maharashtra, India","2026-04-07","https://jobs.worley.com/careers/job/1133912605983"
"USA","Worley","Mechanical Superintendent","Operations & Technical","Baytown, Texas, United States","2026-04-07","https://jobs.worley.com/careers/job/1133912607439"
"India","Worley","Civil Designer Level II","General","Navi Mumbai, Maharashtra, India","2026-04-07","https://jobs.worley.com/careers/job/1133912605979"
"India","Worley","Civil Engineer Level II","Engineering","Navi Mumbai, Maharashtra, India","2026-04-07","https://jobs.worley.com/careers/job/1133912606229"
"India","Worley","Electrical Engineer Level I","Instrumentation & Electrical","Navi Mumbai, Maharashtra, India","2026-04-07","https://jobs.worley.com/careers/job/1133912605981"
"Saudi Arabia","Worley","Project Procurement Coordinator","Supply Chain & Logistics","Turaif, Northern Province, Saudi Arabia","2026-04-07","https://jobs.worley.com/careers/job/1133912606231"
"India","Worley","Warehouse Supervisor I","Supply Chain & Logistics","Mumbai, Maharashtra, India","2026-04-07","https://jobs.worley.com/careers/job/1133912605976"
"India","Worley","Senior Mechanical Engineer - Rotating Equipment","Engineering","Mumbai, Maharashtra, India","2026-04-07","https://jobs.worley.com/careers/job/1133912461786"
"Saudi Arabia","Worley","Chief Process Engineer","Process & Chemical Engineering","Al Khobar, Eastern Province, Saudi Arabia","2026-04-07","https://jobs.worley.com/careers/job/1133912586861"
